 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000004e+00 -7.53003215e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000004e+00  3.03268852e-09 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000004e+00  3.03035216e-09 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000004e+00  3.02565101e-09 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000004e+00  3.01631625e-09 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000004e+00  2.99767111e-09 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000004e+00  2.96077105e-09 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000004e+00  2.88836938e-09 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000003e+00  2.74902820e-09 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000003e+00  2.54510604e-09 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000003e+00  2.35694525e-09 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000003e+00  2.18329291e-09 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000002e+00  2.02302558e-09 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000002e+00  1.87507809e-09 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000002e+00  1.73849965e-09 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000002e+00  1.61238417e-09 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000002e+00  1.49592680e-09 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000002e+00  1.38835776e-09 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000002e+00  1.28899602e-09 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000001e+00  1.19718563e-09 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000001e+00  1.11235260e-09 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000001e+00  1.03393660e-09 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000001e+00  9.61452612e-10 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000001e+00  8.94423702e-10 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000001e+00  8.32440589e-10 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000001e+00  7.75095987e-10 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000001e+00  7.22044258e-10 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000001e+00  6.72938927e-10 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000001e+00  6.27487118e-10 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000001e+00  5.85393595e-10 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000001e+00  5.46411777e-10 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000001e+00  5.10288062e-10 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000001e+00  4.76815837e-10 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00  4.45777720e-10 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00  4.16999962e-10 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00  3.90296129e-10 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00  3.65519948e-10 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00  3.42512768e-10 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.50000000e+00  3.21151189e-10 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.50000000e+00  3.01297376e-10 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.50000000e+00  2.82849938e-10 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.50000000e+00  2.65689387e-10 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.50000000e+00  2.49731458e-10 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.50000000e+00  2.34872011e-10 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.50000000e+00  2.21041796e-10 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.50000000e+00  2.08151191e-10 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.50000000e+00  1.96141908e-10 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.50000000e+00  1.84935872e-10 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.50000000e+00  1.74485815e-10 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.50000000e+00  1.64724345e-10 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.50000000e+00  1.55611329e-10 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.50000000e+00  1.47088175e-10 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.50000000e+00  1.39122908e-10 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.50000000e+00  1.31663458e-10 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.50000000e+00  1.24684651e-10 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.50000000e+00  1.18139526e-10 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.50000000e+00  1.12009402e-10 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.50000000e+00  1.06252646e-10 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.50000000e+00  1.00853881e-10 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  2.50000000e+00  9.57762203e-11 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  2.50000000e+00  9.10078124e-11 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  2.50000000e+00  8.65172101e-11 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  2.50000000e+00  8.22951707e-11 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  2.50000000e+00  7.83114962e-11 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  2.50000000e+00  7.45627449e-11 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  2.50000000e+00  7.10196346e-11 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  2.50000000e+00  6.76805001e-11 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  2.50000000e+00  6.45199449e-11 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  2.50000000e+00  6.15378026e-11 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  2.50000000e+00  5.87098981e-11 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  2.50000000e+00  5.60382574e-11 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  2.50000000e+00  5.35007871e-11 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  2.50000000e+00  5.11006237e-11 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  2.50000000e+00  4.88167839e-11 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  2.50000000e+00  4.66543471e-11 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  2.50000000e+00  4.45933290e-11 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  2.50000000e+00  4.26390590e-11 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  2.50000000e+00  4.07735234e-11 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  2.50000000e+00  3.90028565e-11 
 7.22800000e-11  7.22800000e-11  0.00000000e+00  2.50000000e+00  3.73095999e-11 
 7.32800000e-11  7.32800000e-11  0.00000000e+00  2.50000000e+00  3.57005814e-11 
 7.42800000e-11  7.42800000e-11  0.00000000e+00  2.50000000e+00  3.41599249e-11 
 7.52800000e-11  7.52800000e-11  0.00000000e+00  2.50000000e+00  3.26940419e-11 
 7.62800000e-11  7.62800000e-11  0.00000000e+00  2.50000000e+00  3.12880000e-11 
 7.72800000e-11  7.72800000e-11  0.00000000e+00  2.50000000e+00  2.99490432e-11 
 7.82800000e-11  7.82800000e-11  0.00000000e+00  2.50000000e+00  2.86629054e-11 
 7.92800000e-11  7.92800000e-11  0.00000000e+00  2.50000000e+00  2.74371081e-11 
 8.02800000e-11  8.02800000e-11  0.00000000e+00  2.50000000e+00  2.62578015e-11 
 8.12800000e-11  8.12800000e-11  0.00000000e+00  2.50000000e+00  2.51325072e-11 
 8.22800000e-11  8.22800000e-11  0.00000000e+00  2.50000000e+00  2.40486797e-11 
 8.32800000e-11  8.32800000e-11  0.00000000e+00  2.50000000e+00  2.30139519e-11 
 8.42800000e-11  8.42800000e-11  0.00000000e+00  2.50000000e+00  2.20151952e-11 
 8.52800000e-11  8.52800000e-11  0.00000000e+00  2.50000000e+00  2.10617357e-11 
 8.62800000e-11  8.62800000e-11  0.00000000e+00  2.50000000e+00  2.01398620e-11 
 8.72800000e-11  8.72800000e-11  0.00000000e+00  2.50000000e+00  1.92589833e-11 
 8.82800000e-11  8.82800000e-11  0.00000000e+00  2.50000000e+00  1.84065541e-11 
 8.92800000e-11  8.92800000e-11  0.00000000e+00  2.50000000e+00  1.75916504e-11 
 9.02800000e-11  9.02800000e-11  0.00000000e+00  2.50000000e+00  1.68013659e-11 
 9.12800000e-11  9.12800000e-11  0.00000000e+00  2.50000000e+00  1.60460811e-11 
 9.22800000e-11  9.22800000e-11  0.00000000e+00  2.50000000e+00  1.53128898e-11 
 9.32800000e-11  9.32800000e-11  0.00000000e+00  2.50000000e+00  1.46110346e-11 
 9.42800000e-11  9.42800000e-11  0.00000000e+00  2.50000000e+00  1.39298295e-11 
 9.52800000e-11  9.52800000e-11  0.00000000e+00  2.50000000e+00  1.32777400e-11 
 9.62800000e-11  9.62800000e-11  0.00000000e+00  2.50000000e+00  1.26428035e-11 
 9.72800000e-11  9.72800000e-11  0.00000000e+00  2.50000000e+00  1.20353172e-11 
 9.82800000e-11  9.82800000e-11  0.00000000e+00  2.50000000e+00  1.14439014e-11 
 9.92800000e-11  9.92800000e-11  0.00000000e+00  2.50000000e+00  1.08772158e-11 
 1.00280000e-10  1.00280000e-10  0.00000000e+00  2.50000000e+00  1.03251296e-11 
 1.01280000e-10  1.01280000e-10  0.00000000e+00  2.50000000e+00  9.79627490e-12 
 1.02280000e-10  1.02280000e-10  0.00000000e+00  2.50000000e+00  9.28029875e-12 
 1.03280000e-10  1.03280000e-10  0.00000000e+00  2.50000000e+00  8.78649931e-12 
 1.04280000e-10  1.04280000e-10  0.00000000e+00  2.50000000e+00  8.30363556e-12 
 1.05280000e-10  1.05280000e-10  0.00000000e+00  2.50000000e+00  7.84125542e-12 
 1.06280000e-10  1.06280000e-10  0.00000000e+00  2.50000000e+00  7.38911710e-12 
 1.07280000e-10  1.07280000e-10  0.00000000e+00  2.50000000e+00  6.95604685e-12 
 1.08280000e-10  1.08280000e-10  0.00000000e+00  2.50000000e+00  6.53188614e-12 
 1.09280000e-10  1.09280000e-10  0.00000000e+00  2.50000000e+00  6.12676576e-12 
 1.10280000e-10  1.10280000e-10  0.00000000e+00  2.50000000e+00  5.72894510e-12 
 1.11280000e-10  1.11280000e-10  0.00000000e+00  2.50000000e+00  5.34816635e-12 
 1.12280000e-10  1.12280000e-10  0.00000000e+00  2.50000000e+00  4.97488162e-12 
 1.13280000e-10  1.13280000e-10  0.00000000e+00  2.50000000e+00  4.61766736e-12 
 1.14280000e-10  1.14280000e-10  0.00000000e+00  2.50000000e+00  4.26694791e-12 
 1.15280000e-10  1.15280000e-10  0.00000000e+00  2.50000000e+00  3.93143851e-12 
 1.16280000e-10  1.16280000e-10  0.00000000e+00  2.50000000e+00  3.60167451e-12 
 1.17280000e-10  1.17280000e-10  0.00000000e+00  2.50000000e+00  3.28689853e-12 
 1.18280000e-10  1.18280000e-10  0.00000000e+00  2.50000000e+00  2.97675773e-12 
 1.19280000e-10  1.19280000e-10  0.00000000e+00  2.50000000e+00  2.67999511e-12 
 1.20280000e-10  1.20280000e-10  0.00000000e+00  2.50000000e+00  2.38806197e-12 
 1.21280000e-10  1.21280000e-10  0.00000000e+00  2.50000000e+00  2.10950701e-12 
 1.22280000e-10  1.22280000e-10  0.00000000e+00  2.50000000e+00  1.83450477e-12 
 1.23280000e-10  1.23280000e-10  0.00000000e+00  2.50000000e+00  1.57202029e-12 
 1.24280000e-10  1.24280000e-10  0.00000000e+00  2.50000000e+00  1.31339384e-12 
 1.25280000e-10  1.25280000e-10  0.00000000e+00  2.50000000e+00  1.06598064e-12 
 1.26280000e-10  1.26280000e-10  0.00000000e+00  2.50000000e+00  8.22425461e-13 
 1.27280000e-10  1.27280000e-10  0.00000000e+00  2.50000000e+00  5.89972515e-13 
 1.28280000e-10  1.28280000e-10  0.00000000e+00  2.50000000e+00  3.59434704e-13 
 1.29280000e-10  1.29280000e-10  0.00000000e+00  2.50000000e+00  1.40165657e-13 
 1.30280000e-10  1.30280000e-10  0.00000000e+00  2.50000000e+00 -7.64943664e-14 
 1.31280000e-10  1.31280000e-10  0.00000000e+00  2.50000000e+00 -2.83273405e-13 
 1.32280000e-10  1.32280000e-10  0.00000000e+00  2.50000000e+00 -4.87748730e-13 
 1.33280000e-10  1.33280000e-10  0.00000000e+00  2.50000000e+00 -6.82703893e-13 
 1.34280000e-10  1.34280000e-10  0.00000000e+00  2.50000000e+00 -8.75605144e-13 
 1.35280000e-10  1.35280000e-10  0.00000000e+00  2.50000000e+00 -1.05923603e-12 
 1.36280000e-10  1.36280000e-10  0.00000000e+00  2.50000000e+00 -1.24125710e-12 
 1.37280000e-10  1.37280000e-10  0.00000000e+00  2.50000000e+00 -1.41409107e-12 
 1.38280000e-10  1.38280000e-10  0.00000000e+00  2.50000000e+00 -1.58698055e-12 
 1.39280000e-10  1.39280000e-10  0.00000000e+00  2.50000000e+00 -1.75021109e-12 
 1.40280000e-10  1.40280000e-10  0.00000000e+00  2.50000000e+00 -1.91316407e-12 
 1.41280000e-10  1.41280000e-10  0.00000000e+00  2.50000000e+00 -2.06709649e-12 
 1.42280000e-10  1.42280000e-10  0.00000000e+00  2.50000000e+00 -2.22047380e-12 
 1.43280000e-10  1.43280000e-10  0.00000000e+00  2.50000000e+00 -2.36563547e-12 
 1.44280000e-10  1.44280000e-10  0.00000000e+00  2.50000000e+00 -2.51115795e-12 
 1.45280000e-10  1.45280000e-10  0.00000000e+00  2.50000000e+00 -2.64785416e-12 
 1.46280000e-10  1.46280000e-10  0.00000000e+00  2.50000000e+00 -2.78527201e-12 
 1.47280000e-10  1.47280000e-10  0.00000000e+00  2.50000000e+00 -2.91466851e-12 
 1.48280000e-10  1.48280000e-10  0.00000000e+00  2.50000000e+00 -3.04423153e-12 
 1.49280000e-10  1.49280000e-10  0.00000000e+00  2.50000000e+00 -3.16643933e-12 
 1.50280000e-10  1.50280000e-10  0.00000000e+00  2.50000000e+00 -3.28898020e-12 
 1.51280000e-10  1.51280000e-10  0.00000000e+00  2.50000000e+00 -3.40416584e-12 
 1.52280000e-10  1.52280000e-10  0.00000000e+00  2.50000000e+00 -3.52004537e-12 
 1.53280000e-10  1.53280000e-10  0.00000000e+00  2.50000000e+00 -3.62868069e-12 
 1.54280000e-10  1.54280000e-10  0.00000000e+00  2.50000000e+00 -3.73814868e-12 
 1.55280000e-10  1.55280000e-10  0.00000000e+00  2.50000000e+00 -3.84078880e-12 
 1.56280000e-10  1.56280000e-10  0.00000000e+00  2.50000000e+00 -3.94501098e-12 
 1.57280000e-10  1.57280000e-10  0.00000000e+00  2.50000000e+00 -4.04165590e-12 
 1.58280000e-10  1.58280000e-10  0.00000000e+00  2.50000000e+00 -4.13996615e-12 
 1.59280000e-10  1.59280000e-10  0.00000000e+00  2.50000000e+00 -4.23122648e-12 
 1.60280000e-10  1.60280000e-10  0.00000000e+00  2.50000000e+00 -4.32384684e-12 
