 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000019e+00 -1.01000024e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  1.00000019e+00  9.47332283e-11 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  1.00000019e+00  9.47134521e-11 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  1.00000019e+00  9.46727723e-11 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  1.00000019e+00  9.45919048e-11 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  1.00000019e+00  9.44301066e-11 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  1.00000019e+00  9.41072665e-11 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  1.00000019e+00  9.34648707e-11 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  1.00000018e+00  9.21930728e-11 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  1.00000018e+00  9.02400283e-11 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  1.00000018e+00  8.83279101e-11 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  1.00000017e+00  8.64558584e-11 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  1.00000017e+00  8.46230354e-11 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  1.00000017e+00  8.28286189e-11 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  1.00000016e+00  8.10718044e-11 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  1.00000016e+00  7.93518030e-11 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  1.00000015e+00  7.76678434e-11 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  1.00000015e+00  7.60191719e-11 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  1.00000015e+00  7.44050466e-11 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  1.00000015e+00  7.28247465e-11 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  1.00000014e+00  7.12775592e-11 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  1.00000014e+00  6.97627937e-11 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  1.00000014e+00  6.82797699e-11 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  1.00000013e+00  6.68278231e-11 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  1.00000013e+00  6.54062980e-11 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  1.00000013e+00  6.40145632e-11 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  1.00000012e+00  6.26519929e-11 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  1.00000012e+00  6.13179737e-11 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  1.00000012e+00  6.00119080e-11 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  1.00000012e+00  5.87332114e-11 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  1.00000011e+00  5.74813091e-11 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  1.00000011e+00  5.62556393e-11 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  1.00000011e+00  5.50556547e-11 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  1.00000011e+00  5.38808151e-11 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  1.00000011e+00  5.27305944e-11 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  1.00000010e+00  5.16044755e-11 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  1.00000010e+00  5.05019537e-11 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  1.00000010e+00  4.94225340e-11 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  1.00000010e+00  4.83657355e-11 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  1.00000009e+00  4.73310805e-11 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  1.00000009e+00  4.63181061e-11 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  1.00000009e+00  4.53263605e-11 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  1.00000009e+00  4.43553945e-11 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  1.00000009e+00  4.34047746e-11 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  1.00000008e+00  4.24740768e-11 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  1.00000008e+00  4.15628794e-11 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  1.00000008e+00  4.06707768e-11 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  1.00000008e+00  3.97973693e-11 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  1.00000008e+00  3.89422619e-11 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  1.00000008e+00  3.81050726e-11 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  1.00000007e+00  3.72854277e-11 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  1.00000007e+00  3.64829589e-11 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  1.00000007e+00  3.56973042e-11 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  1.00000007e+00  3.49281115e-11 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  1.00000007e+00  3.41750392e-11 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  1.00000007e+00  3.34377465e-11 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  1.00000007e+00  3.27159045e-11 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  1.00000006e+00  3.20091869e-11 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  1.00000006e+00  3.13172806e-11 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  1.00000006e+00  3.06398714e-11 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  1.00000006e+00  2.99766558e-11 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  1.00000006e+00  2.93273407e-11 
