 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.54325857e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58879159e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.58853225e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.58767269e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.58587292e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.58234623e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.57529197e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  3.56122510e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  3.53930774e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  3.51747451e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  3.49571934e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  3.47403356e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  3.45243278e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00  3.43090834e-12 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00  3.40945848e-12 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00  3.38809536e-12 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00  3.36679903e-12 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00  3.34558076e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00  3.32444402e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00  3.30338621e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00  3.28239866e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00  3.26148483e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00  3.24065254e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00  3.21989657e-12 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000000e+00  3.19920652e-12 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000000e+00  3.17860148e-12 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000000e+00  3.15806842e-12 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000000e+00  3.13760476e-12 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000000e+00  3.11721569e-12 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000000e+00  3.09689253e-12 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000000e+00  3.07666219e-12 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000000e+00  3.05649082e-12 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00  3.03639665e-12 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00  3.01636927e-12 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00  2.99642169e-12 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00  2.97654436e-12 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00  2.95673729e-12 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.50000000e+00  2.93699960e-12 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.50000000e+00  2.91734085e-12 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.50000000e+00  2.89774107e-12 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.50000000e+00  2.87822891e-12 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.50000000e+00  2.85877138e-12 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.50000000e+00  2.83939625e-12 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.50000000e+00  2.82007837e-12 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.50000000e+00  2.80083942e-12 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.50000000e+00  2.78166466e-12 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.50000000e+00  2.76256015e-12 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.50000000e+00  2.74352763e-12 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.50000000e+00  2.72456450e-12 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.50000000e+00  2.70566642e-12 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.50000000e+00  2.68683513e-12 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.50000000e+00  2.66806889e-12 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.50000000e+00  2.64937378e-12 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.50000000e+00  2.63075586e-12 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.50000000e+00  2.61219085e-12 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.50000000e+00  2.59369175e-12 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.50000000e+00  2.57527246e-12 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.50000000e+00  2.55691041e-12 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  2.50000000e+00  2.53862729e-12 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  2.50000000e+00  2.52039535e-12 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  2.50000000e+00  2.50222672e-12 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  2.50000000e+00  2.48413443e-12 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  2.50000000e+00  2.46611238e-12 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  2.50000000e+00  2.44814932e-12 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  2.50000000e+00  2.43024524e-12 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  2.50000000e+00  2.41240968e-12 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  2.50000000e+00  2.39464611e-12 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  2.50000000e+00  2.37693806e-12 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  2.50000000e+00  2.35929765e-12 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  2.50000000e+00  2.34171450e-12 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  2.50000000e+00  2.32420506e-12 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  2.50000000e+00  2.30675375e-12 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  2.50000000e+00  2.28936314e-12 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  2.50000000e+00  2.27203673e-12 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  2.50000000e+00  2.25477016e-12 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  2.50000000e+00  2.23757558e-12 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  2.50000000e+00  2.22042697e-12 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  2.50000000e+00  2.20334775e-12 
 7.22800000e-11  7.22800000e-11  0.00000000e+00  2.50000000e+00  2.18633618e-12 
 7.32800000e-11  7.32800000e-11  0.00000000e+00  2.50000000e+00  2.16937839e-12 
 7.42800000e-11  7.42800000e-11  0.00000000e+00  2.50000000e+00  2.15248999e-12 
 7.52800000e-11  7.52800000e-11  0.00000000e+00  2.50000000e+00  2.13565710e-12 
 7.62800000e-11  7.62800000e-11  0.00000000e+00  2.50000000e+00  2.11888666e-12 
 7.72800000e-11  7.72800000e-11  0.00000000e+00  2.50000000e+00  2.10217954e-12 
 7.82800000e-11  7.82800000e-11  0.00000000e+00  2.50000000e+00  2.08552620e-12 
 7.92800000e-11  7.92800000e-11  0.00000000e+00  2.50000000e+00  2.06893096e-12 
 8.02800000e-11  8.02800000e-11  0.00000000e+00  2.50000000e+00  2.05241466e-12 
 8.12800000e-11  8.12800000e-11  0.00000000e+00  2.50000000e+00  2.03594260e-12 
 8.22800000e-11  8.22800000e-11  0.00000000e+00  2.50000000e+00  2.01953038e-12 
 8.32800000e-11  8.32800000e-11  0.00000000e+00  2.50000000e+00  2.00317193e-12 
 8.42800000e-11  8.42800000e-11  0.00000000e+00  2.50000000e+00  1.98688115e-12 
 8.52800000e-11  8.52800000e-11  0.00000000e+00  2.50000000e+00  1.97065194e-12 
 8.62800000e-11  8.62800000e-11  0.00000000e+00  2.50000000e+00  1.95447217e-12 
 8.72800000e-11  8.72800000e-11  0.00000000e+00  2.50000000e+00  1.93836266e-12 
 8.82800000e-11  8.82800000e-11  0.00000000e+00  2.50000000e+00  1.92229826e-12 
 8.92800000e-11  8.92800000e-11  0.00000000e+00  2.50000000e+00  1.90630064e-12 
 9.02800000e-11  9.02800000e-11  0.00000000e+00  2.50000000e+00  1.89035506e-12 
 9.12800000e-11  9.12800000e-11  0.00000000e+00  2.50000000e+00  1.87447193e-12 
 9.22800000e-11  9.22800000e-11  0.00000000e+00  2.50000000e+00  1.85864345e-12 
 9.32800000e-11  9.32800000e-11  0.00000000e+00  2.50000000e+00  1.84287308e-12 
 9.42800000e-11  9.42800000e-11  0.00000000e+00  2.50000000e+00  1.82715908e-12 
 9.52800000e-11  9.52800000e-11  0.00000000e+00  2.50000000e+00  1.81150494e-12 
 9.62800000e-11  9.62800000e-11  0.00000000e+00  2.50000000e+00  1.79589937e-12 
 9.72800000e-11  9.72800000e-11  0.00000000e+00  2.50000000e+00  1.78035277e-12 
 9.82800000e-11  9.82800000e-11  0.00000000e+00  2.50000000e+00  1.76486516e-12 
 9.92800000e-11  9.92800000e-11  0.00000000e+00  2.50000000e+00  1.74943133e-12 
 1.00280000e-10  1.00280000e-10  0.00000000e+00  2.50000000e+00  1.73405387e-12 
 1.01280000e-10  1.01280000e-10  0.00000000e+00  2.50000000e+00  1.71872846e-12 
 1.02280000e-10  1.02280000e-10  0.00000000e+00  2.50000000e+00  1.70347070e-12 
 1.03280000e-10  1.03280000e-10  0.00000000e+00  2.50000000e+00  1.68824503e-12 
 1.04280000e-10  1.04280000e-10  0.00000000e+00  2.50000000e+00  1.67309916e-12 
 1.05280000e-10  1.05280000e-10  0.00000000e+00  2.50000000e+00  1.65799492e-12 
 1.06280000e-10  1.06280000e-10  0.00000000e+00  2.50000000e+00  1.64295053e-12 
 1.07280000e-10  1.07280000e-10  0.00000000e+00  2.50000000e+00  1.62795558e-12 
 1.08280000e-10  1.08280000e-10  0.00000000e+00  2.50000000e+00  1.61301788e-12 
 1.09280000e-10  1.09280000e-10  0.00000000e+00  2.50000000e+00  1.59813395e-12 
 1.10280000e-10  1.10280000e-10  0.00000000e+00  2.50000000e+00  1.58330467e-12 
 1.11280000e-10  1.11280000e-10  0.00000000e+00  2.50000000e+00  1.56852743e-12 
 1.12280000e-10  1.12280000e-10  0.00000000e+00  2.50000000e+00  1.55379876e-12 
 1.13280000e-10  1.13280000e-10  0.00000000e+00  2.50000000e+00  1.53912993e-12 
 1.14280000e-10  1.14280000e-10  0.00000000e+00  2.50000000e+00  1.52451836e-12 
 1.15280000e-10  1.15280000e-10  0.00000000e+00  2.50000000e+00  1.50993974e-12 
 1.16280000e-10  1.16280000e-10  0.00000000e+00  2.50000000e+00  1.49542618e-12 
 1.17280000e-10  1.17280000e-10  0.00000000e+00  2.50000000e+00  1.48097160e-12 
