 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 2.50000000e-14  2.50000000e-14  0.00000000e+00  2.50000000e+00  3.58655640e-12 
 5.00000000e-14  5.00000000e-14  0.00000000e+00  2.50000000e+00  3.58393610e-12 
 1.00000000e-13  1.00000000e-13  0.00000000e+00  2.50000000e+00  3.57861223e-12 
 2.00000000e-13  2.00000000e-13  0.00000000e+00  2.50000000e+00  3.56801047e-12 
 4.00000000e-13  4.00000000e-13  0.00000000e+00  2.50000000e+00  3.54667771e-12 
 8.00000000e-13  8.00000000e-13  0.00000000e+00  2.50000000e+00  3.50426459e-12 
 1.60000000e-12  1.60000000e-12  0.00000000e+00  2.50000000e+00  3.42031872e-12 
 3.20000000e-12  3.20000000e-12  0.00000000e+00  2.50000000e+00  3.25593632e-12 
 5.70000000e-12  5.70000000e-12  0.00000000e+00  2.50000000e+00  3.00813454e-12 
 8.20000000e-12  8.20000000e-12  0.00000000e+00  2.50000000e+00  2.77097789e-12 
 1.07000000e-11  1.07000000e-11  0.00000000e+00  2.50000000e+00  2.54402055e-12 
 1.32000000e-11  1.32000000e-11  0.00000000e+00  2.50000000e+00  2.32681149e-12 
 1.57000000e-11  1.57000000e-11  0.00000000e+00  2.50000000e+00  2.11894217e-12 
 1.82000000e-11  1.82000000e-11  0.00000000e+00  2.50000000e+00  1.92000409e-12 
 2.07000000e-11  2.07000000e-11  0.00000000e+00  2.50000000e+00  1.72961472e-12 
 2.32000000e-11  2.32000000e-11  0.00000000e+00  2.50000000e+00  1.54741411e-12 
 2.57000000e-11  2.57000000e-11  0.00000000e+00  2.50000000e+00  1.37303623e-12 
 2.82000000e-11  2.82000000e-11  0.00000000e+00  2.50000000e+00  1.20615670e-12 
 3.07000000e-11  3.07000000e-11  0.00000000e+00  2.50000000e+00  1.04644939e-12 
 3.32000000e-11  3.32000000e-11  0.00000000e+00  2.50000000e+00  8.93602900e-13 
 3.57000000e-11  3.57000000e-11  0.00000000e+00  2.50000000e+00  7.47329282e-13 
 3.82000000e-11  3.82000000e-11  0.00000000e+00  2.50000000e+00  6.07337965e-13 
 4.07000000e-11  4.07000000e-11  0.00000000e+00  2.50000000e+00  4.73365271e-13 
 4.32000000e-11  4.32000000e-11  0.00000000e+00  2.50000000e+00  3.45149256e-13 
 4.57000000e-11  4.57000000e-11  0.00000000e+00  2.50000000e+00  2.22440989e-13 
 4.82000000e-11  4.82000000e-11  0.00000000e+00  2.50000000e+00  1.05012353e-13 
 5.07000000e-11  5.07000000e-11  0.00000000e+00  2.50000000e+00 -7.37430950e-15 
 5.32000000e-11  5.32000000e-11  0.00000000e+00  2.50000000e+00 -1.14927165e-13 
 5.57000000e-11  5.57000000e-11  0.00000000e+00  2.50000000e+00 -2.17858717e-13 
 5.82000000e-11  5.82000000e-11  0.00000000e+00  2.50000000e+00 -3.16367592e-13 
 6.07000000e-11  6.07000000e-11  0.00000000e+00  2.50000000e+00 -4.10642874e-13 
 6.32000000e-11  6.32000000e-11  0.00000000e+00  2.50000000e+00 -5.00867577e-13 
 6.57000000e-11  6.57000000e-11  0.00000000e+00  2.50000000e+00 -5.87215172e-13 
 6.82000000e-11  6.82000000e-11  0.00000000e+00  2.50000000e+00 -6.69848725e-13 
 7.07000000e-11  7.07000000e-11  0.00000000e+00  2.50000000e+00 -7.48930432e-13 
 7.32000000e-11  7.32000000e-11  0.00000000e+00  2.50000000e+00 -8.24617284e-13 
 7.57000000e-11  7.57000000e-11  0.00000000e+00  2.50000000e+00 -8.97047193e-13 
 7.82000000e-11  7.82000000e-11  0.00000000e+00  2.50000000e+00 -9.66369346e-13 
 8.07000000e-11  8.07000000e-11  0.00000000e+00  2.50000000e+00 -1.03270691e-12 
 8.32000000e-11  8.32000000e-11  0.00000000e+00  2.50000000e+00 -1.09619779e-12 
 8.57000000e-11  8.57000000e-11  0.00000000e+00  2.50000000e+00 -1.15695908e-12 
 8.82000000e-11  8.82000000e-11  0.00000000e+00  2.50000000e+00 -1.21510527e-12 
 9.07000000e-11  9.07000000e-11  0.00000000e+00  2.50000000e+00 -1.27075260e-12 
 9.32000000e-11  9.32000000e-11  0.00000000e+00  2.50000000e+00 -1.32401382e-12 
 9.57000000e-11  9.57000000e-11  0.00000000e+00  2.50000000e+00 -1.37498173e-12 
 9.82000000e-11  9.82000000e-11  0.00000000e+00  2.50000000e+00 -1.42375868e-12 
 1.00700000e-10  1.00700000e-10  0.00000000e+00  2.50000000e+00 -1.47044096e-12 
 1.03200000e-10  1.03200000e-10  0.00000000e+00  2.50000000e+00 -1.51511442e-12 
 1.05700000e-10  1.05700000e-10  0.00000000e+00  2.50000000e+00 -1.55787189e-12 
 1.08200000e-10  1.08200000e-10  0.00000000e+00  2.50000000e+00 -1.59879401e-12 
 1.10700000e-10  1.10700000e-10  0.00000000e+00  2.50000000e+00 -1.63795366e-12 
 1.13200000e-10  1.13200000e-10  0.00000000e+00  2.50000000e+00 -1.67542803e-12 
 1.15700000e-10  1.15700000e-10  0.00000000e+00  2.50000000e+00 -1.71129777e-12 
 1.18200000e-10  1.18200000e-10  0.00000000e+00  2.50000000e+00 -1.74562361e-12 
 1.20700000e-10  1.20700000e-10  0.00000000e+00  2.50000000e+00 -1.77847320e-12 
 1.23200000e-10  1.23200000e-10  0.00000000e+00  2.50000000e+00 -1.80990813e-12 
 1.25700000e-10  1.25700000e-10  0.00000000e+00  2.50000000e+00 -1.83999604e-12 
 1.28200000e-10  1.28200000e-10  0.00000000e+00  2.50000000e+00 -1.86878811e-12 
 1.30700000e-10  1.30700000e-10  0.00000000e+00  2.50000000e+00 -1.89634766e-12 
 1.33200000e-10  1.33200000e-10  0.00000000e+00  2.50000000e+00 -1.92271546e-12 
 1.35700000e-10  1.35700000e-10  0.00000000e+00  2.50000000e+00 -1.94795655e-12 
 1.38200000e-10  1.38200000e-10  0.00000000e+00  2.50000000e+00 -1.97210737e-12 
 1.40700000e-10  1.40700000e-10  0.00000000e+00  2.50000000e+00 -1.99522603e-12 
 1.43200000e-10  1.43200000e-10  0.00000000e+00  2.50000000e+00 -2.01734809e-12 
 1.45700000e-10  1.45700000e-10  0.00000000e+00  2.50000000e+00 -2.03851779e-12 
 1.48200000e-10  1.48200000e-10  0.00000000e+00  2.50000000e+00 -2.05878196e-12 
 1.50700000e-10  1.50700000e-10  0.00000000e+00  2.50000000e+00 -2.07817097e-12 
 1.53200000e-10  1.53200000e-10  0.00000000e+00  2.50000000e+00 -2.09672817e-12 
 1.55700000e-10  1.55700000e-10  0.00000000e+00  2.50000000e+00 -2.11448740e-12 
 1.58200000e-10  1.58200000e-10  0.00000000e+00  2.50000000e+00 -2.13148596e-12 
 1.60700000e-10  1.60700000e-10  0.00000000e+00  2.50000000e+00 -2.14775333e-12 
 1.63200000e-10  1.63200000e-10  0.00000000e+00  2.50000000e+00 -2.16331814e-12 
 1.65700000e-10  1.65700000e-10  0.00000000e+00  2.50000000e+00 -2.17821681e-12 
 1.68200000e-10  1.68200000e-10  0.00000000e+00  2.50000000e+00 -2.19247537e-12 
 1.70700000e-10  1.70700000e-10  0.00000000e+00  2.50000000e+00 -2.20612070e-12 
 1.73200000e-10  1.73200000e-10  0.00000000e+00  2.50000000e+00 -2.21917970e-12 
 1.75700000e-10  1.75700000e-10  0.00000000e+00  2.50000000e+00 -2.23167665e-12 
 1.78200000e-10  1.78200000e-10  0.00000000e+00  2.50000000e+00 -2.24363670e-12 
 1.80700000e-10  1.80700000e-10  0.00000000e+00  2.50000000e+00 -2.25508501e-12 
 1.83200000e-10  1.83200000e-10  0.00000000e+00  2.50000000e+00 -2.26603892e-12 
 1.85700000e-10  1.85700000e-10  0.00000000e+00  2.50000000e+00 -2.27652099e-12 
 1.88200000e-10  1.88200000e-10  0.00000000e+00  2.50000000e+00 -2.28655463e-12 
 1.90700000e-10  1.90700000e-10  0.00000000e+00  2.50000000e+00 -2.29615892e-12 
 1.93200000e-10  1.93200000e-10  0.00000000e+00  2.50000000e+00 -2.30534602e-12 
 1.95700000e-10  1.95700000e-10  0.00000000e+00  2.50000000e+00 -2.31414193e-12 
 1.98200000e-10  1.98200000e-10  0.00000000e+00  2.50000000e+00 -2.32256055e-12 
 2.00700000e-10  2.00700000e-10  0.00000000e+00  2.50000000e+00 -2.33061487e-12 
 2.03200000e-10  2.03200000e-10  0.00000000e+00  2.50000000e+00 -2.33832138e-12 
 2.05700000e-10  2.05700000e-10  0.00000000e+00  2.50000000e+00 -2.34569916e-12 
 2.08200000e-10  2.08200000e-10  0.00000000e+00  2.50000000e+00 -2.35275948e-12 
 2.10700000e-10  2.10700000e-10  0.00000000e+00  2.50000000e+00 -2.35951623e-12 
 2.13200000e-10  2.13200000e-10  0.00000000e+00  2.50000000e+00 -2.36598501e-12 
 2.15700000e-10  2.15700000e-10  0.00000000e+00  2.50000000e+00 -2.37217017e-12 
 2.18200000e-10  2.18200000e-10  0.00000000e+00  2.50000000e+00 -2.37809165e-12 
 2.20700000e-10  2.20700000e-10  0.00000000e+00  2.50000000e+00 -2.38375899e-12 
 2.23200000e-10  2.23200000e-10  0.00000000e+00  2.50000000e+00 -2.38918520e-12 
 2.25700000e-10  2.25700000e-10  0.00000000e+00  2.50000000e+00 -2.39437550e-12 
 2.28200000e-10  2.28200000e-10  0.00000000e+00  2.50000000e+00 -2.39934374e-12 
 2.30700000e-10  2.30700000e-10  0.00000000e+00  2.50000000e+00 -2.40409949e-12 
 2.33200000e-10  2.33200000e-10  0.00000000e+00  2.50000000e+00 -2.40865314e-12 
 2.35700000e-10  2.35700000e-10  0.00000000e+00  2.50000000e+00 -2.41300556e-12 
 2.38200000e-10  2.38200000e-10  0.00000000e+00  2.50000000e+00 -2.41717583e-12 
 2.40700000e-10  2.40700000e-10  0.00000000e+00  2.50000000e+00 -2.42116136e-12 
 2.43200000e-10  2.43200000e-10  0.00000000e+00  2.50000000e+00 -2.42497862e-12 
 2.45700000e-10  2.45700000e-10  0.00000000e+00  2.50000000e+00 -2.42863021e-12 
 2.48200000e-10  2.48200000e-10  0.00000000e+00  2.50000000e+00 -2.43212481e-12 
 2.50700000e-10  2.50700000e-10  0.00000000e+00  2.50000000e+00 -2.43546849e-12 
 2.53200000e-10  2.53200000e-10  0.00000000e+00  2.50000000e+00 -2.43866819e-12 
 2.55700000e-10  2.55700000e-10  0.00000000e+00  2.50000000e+00 -2.44173258e-12 
 2.58200000e-10  2.58200000e-10  0.00000000e+00  2.50000000e+00 -2.44466166e-12 
 2.60700000e-10  2.60700000e-10  0.00000000e+00  2.50000000e+00 -2.44747278e-12 
 2.63200000e-10  2.63200000e-10  0.00000000e+00  2.50000000e+00 -2.45015900e-12 
 2.65700000e-10  2.65700000e-10  0.00000000e+00  2.50000000e+00 -2.45272726e-12 
 2.68200000e-10  2.68200000e-10  0.00000000e+00  2.50000000e+00 -2.45518883e-12 
 2.70700000e-10  2.70700000e-10  0.00000000e+00  2.50000000e+00 -2.45754198e-12 
 2.73200000e-10  2.73200000e-10  0.00000000e+00  2.50000000e+00 -2.45979799e-12 
 2.75700000e-10  2.75700000e-10  0.00000000e+00  2.50000000e+00 -2.46195512e-12 
