 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000019e+00 -1.01000024e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  1.00000019e+00  9.47493324e-11 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  1.00000019e+00  9.47446436e-11 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  1.00000019e+00  9.47354644e-11 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  1.00000019e+00  9.47169162e-11 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  1.00000019e+00  9.46799218e-11 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  1.00000019e+00  9.46058820e-11 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  1.00000019e+00  9.44579678e-11 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  1.00000019e+00  9.41628470e-11 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  1.00000019e+00  9.37035471e-11 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  1.00000019e+00  9.32464621e-11 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  1.00000018e+00  9.27915810e-11 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  1.00000018e+00  9.23388963e-11 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  1.00000018e+00  9.18883948e-11 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  1.00000018e+00  9.14400697e-11 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  1.00000018e+00  9.09939054e-11 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  1.00000018e+00  9.05498947e-11 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  1.00000018e+00  9.01080280e-11 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  1.00000018e+00  8.96682942e-11 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  1.00000018e+00  8.92306813e-11 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  1.00000018e+00  8.87951821e-11 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  1.00000018e+00  8.83617821e-11 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  1.00000018e+00  8.79304755e-11 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  1.00000017e+00  8.75012497e-11 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  1.00000017e+00  8.70740952e-11 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  1.00000017e+00  8.66490018e-11 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  1.00000017e+00  8.62259608e-11 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  1.00000017e+00  8.58049608e-11 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  1.00000017e+00  8.53859927e-11 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  1.00000017e+00  8.49690470e-11 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  1.00000017e+00  8.45541140e-11 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  1.00000017e+00  8.41411822e-11 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  1.00000017e+00  8.37302421e-11 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  1.00000017e+00  8.33212882e-11 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  1.00000017e+00  8.29143066e-11 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  1.00000016e+00  8.25092882e-11 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  1.00000016e+00  8.21062247e-11 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  1.00000016e+00  8.17051068e-11 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  1.00000016e+00  8.13059242e-11 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  1.00000016e+00  8.09086705e-11 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  1.00000016e+00  8.05133311e-11 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  1.00000016e+00  8.01198999e-11 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  1.00000016e+00  7.97283677e-11 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  1.00000016e+00  7.93387253e-11 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  1.00000016e+00  7.89509633e-11 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  1.00000016e+00  7.85650737e-11 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  1.00000016e+00  7.81810449e-11 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  1.00000016e+00  7.77988699e-11 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  1.00000015e+00  7.74185389e-11 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  1.00000015e+00  7.70400449e-11 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  1.00000015e+00  7.66633764e-11 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  1.00000015e+00  7.62885245e-11 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  1.00000015e+00  7.59154839e-11 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  1.00000015e+00  7.55442404e-11 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  1.00000015e+00  7.51747914e-11 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  1.00000015e+00  7.48071232e-11 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  1.00000015e+00  7.44412318e-11 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  1.00000015e+00  7.40771047e-11 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  1.00000015e+00  7.37147360e-11 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  1.00000015e+00  7.33541165e-11 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  1.00000015e+00  7.29952349e-11 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  1.00000014e+00  7.26380872e-11 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  1.00000014e+00  7.22826633e-11 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  1.00000014e+00  7.19289535e-11 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  1.00000014e+00  7.15769500e-11 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  1.00000014e+00  7.12266474e-11 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  1.00000014e+00  7.08780332e-11 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  1.00000014e+00  7.05311018e-11 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  1.00000014e+00  7.01858466e-11 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  1.00000014e+00  6.98422568e-11 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  1.00000014e+00  6.95003229e-11 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  1.00000014e+00  6.91600399e-11 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  1.00000014e+00  6.88214026e-11 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  1.00000014e+00  6.84843968e-11 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  1.00000014e+00  6.81490182e-11 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  1.00000014e+00  6.78152563e-11 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  1.00000013e+00  6.74831065e-11 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  1.00000013e+00  6.71525593e-11 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  1.00000013e+00  6.68236076e-11 
