 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.57778477e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58913940e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.58900843e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.58852184e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.58762846e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.58587118e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.58231413e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  3.57524513e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  3.56420969e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  3.55318986e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  3.54220472e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  3.53122392e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  3.52027522e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00  3.50935080e-12 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00  3.49842984e-12 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00  3.48754012e-12 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00  3.47666080e-12 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00  3.46580663e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00  3.45497502e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00  3.44416162e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00  3.43336557e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00  3.42259207e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00  3.41182898e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00  3.40109017e-12 
