 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.58717049e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58522326e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.58129151e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.57283387e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.55641384e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.52355298e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.45836207e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  3.33015473e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  3.13530799e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  2.94695431e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  2.76488901e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  2.58889177e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  2.41877265e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00  2.25432260e-12 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00  2.09537249e-12 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00  1.94171589e-12 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00  1.79319233e-12 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00  1.64962054e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00  1.51083573e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00  1.37668349e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00  1.24700597e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00  1.12165919e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00  1.00049569e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00  8.83368032e-13 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000000e+00  7.70146100e-13 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000000e+00  6.60704998e-13 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000000e+00  5.54921560e-13 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000000e+00  4.52655274e-13 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000000e+00  3.53805527e-13 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000000e+00  2.58263029e-13 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000000e+00  1.65899412e-13 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000000e+00  7.66253380e-14 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00 -9.68149172e-15 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00 -9.30956701e-14 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00 -1.73739495e-13 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00 -2.51684958e-13 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00 -3.27031804e-13 
