 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.58479219e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58009022e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.57082246e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.55200938e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.51478742e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.44113887e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.29646900e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  3.01753761e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  2.60818277e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  2.22915089e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  1.87817990e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  1.55320201e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  1.25229514e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00  9.73678603e-13 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00  7.15683589e-13 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00  4.76796554e-13 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00  2.55604565e-13 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00  5.07987749e-14 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00 -1.38849869e-13 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00 -3.14449855e-13 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00 -4.77042884e-13 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00 -6.27596065e-13 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00 -7.67000179e-13 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00 -8.96080085e-13 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000000e+00 -1.01560513e-12 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000000e+00 -1.12627702e-12 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000000e+00 -1.22875061e-12 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000000e+00 -1.32363391e-12 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000000e+00 -1.41149679e-12 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000000e+00 -1.49285011e-12 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000000e+00 -1.56817268e-12 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000000e+00 -1.63792938e-12 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00 -1.70250619e-12 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00 -1.76230731e-12 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00 -1.81768489e-12 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00 -1.86894424e-12 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00 -1.91641581e-12 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.50000000e+00 -1.96037804e-12 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.50000000e+00 -2.00107552e-12 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.50000000e+00 -2.03877366e-12 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.50000000e+00 -2.07367543e-12 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.50000000e+00 -2.10598292e-12 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.50000000e+00 -2.13590257e-12 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.50000000e+00 -2.16360610e-12 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.50000000e+00 -2.18925919e-12 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.50000000e+00 -2.21300409e-12 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.50000000e+00 -2.23500211e-12 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.50000000e+00 -2.25537384e-12 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.50000000e+00 -2.27422508e-12 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.50000000e+00 -2.29168334e-12 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.50000000e+00 -2.30784662e-12 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.50000000e+00 -2.32282596e-12 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.50000000e+00 -2.33669074e-12 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.50000000e+00 -2.34951468e-12 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.50000000e+00 -2.36140361e-12 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.50000000e+00 -2.37241650e-12 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.50000000e+00 -2.38259499e-12 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.50000000e+00 -2.39202842e-12 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  2.50000000e+00 -2.40077316e-12 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  2.50000000e+00 -2.40885957e-12 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  2.50000000e+00 -2.41634924e-12 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  2.50000000e+00 -2.42328640e-12 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  2.50000000e+00 -2.42970661e-12 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  2.50000000e+00 -2.43565237e-12 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  2.50000000e+00 -2.44115839e-12 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  2.50000000e+00 -2.44625327e-12 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  2.50000000e+00 -2.45098733e-12 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  2.50000000e+00 -2.45535623e-12 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  2.50000000e+00 -2.45939640e-12 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  2.50000000e+00 -2.46314861e-12 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  2.50000000e+00 -2.46661892e-12 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  2.50000000e+00 -2.46983250e-12 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  2.50000000e+00 -2.47280495e-12 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  2.50000000e+00 -2.47555622e-12 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  2.50000000e+00 -2.47810366e-12 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  2.50000000e+00 -2.48046462e-12 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  2.50000000e+00 -2.48265991e-12 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  2.50000000e+00 -2.48467653e-12 
 7.22800000e-11  7.22800000e-11  0.00000000e+00  2.50000000e+00 -2.48654829e-12 
 7.32800000e-11  7.32800000e-11  0.00000000e+00  2.50000000e+00 -2.48829776e-12 
 7.42800000e-11  7.42800000e-11  0.00000000e+00  2.50000000e+00 -2.48990151e-12 
 7.52800000e-11  7.52800000e-11  0.00000000e+00  2.50000000e+00 -2.49139077e-12 
 7.62800000e-11  7.62800000e-11  0.00000000e+00  2.50000000e+00 -2.49276554e-12 
 7.72800000e-11  7.72800000e-11  0.00000000e+00  2.50000000e+00 -2.49404750e-12 
 7.82800000e-11  7.82800000e-11  0.00000000e+00  2.50000000e+00 -2.49522625e-12 
 7.92800000e-11  7.92800000e-11  0.00000000e+00  2.50000000e+00 -2.49631999e-12 
 8.02800000e-11  8.02800000e-11  0.00000000e+00  2.50000000e+00 -2.49733133e-12 
 8.12800000e-11  8.12800000e-11  0.00000000e+00  2.50000000e+00 -2.49827155e-12 
 8.22800000e-11  8.22800000e-11  0.00000000e+00  2.50000000e+00 -2.49914499e-12 
 8.32800000e-11  8.32800000e-11  0.00000000e+00  2.50000000e+00 -2.49994556e-12 
 8.42800000e-11  8.42800000e-11  0.00000000e+00  2.50000000e+00 -2.50069757e-12 
