 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000001e+00 -1.20999987e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  1.20000001e+00  7.15043736e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  1.20000001e+00  7.23867786e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  1.20000001e+00  7.23387084e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  1.20000001e+00  7.22424117e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  1.20000001e+00  7.20492557e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  1.20000001e+00  7.16648344e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  1.20000001e+00  7.09015431e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  1.20000001e+00  6.93957001e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  1.20000001e+00  6.70972403e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  1.20000001e+00  6.48636082e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  1.20000001e+00  6.26929617e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  1.20000001e+00  6.05835239e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  1.20000001e+00  5.85335762e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  1.20000001e+00  5.65414837e-12 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  1.20000001e+00  5.46055519e-12 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  1.20000001e+00  5.27242128e-12 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  1.20000001e+00  5.08959335e-12 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  1.20000001e+00  4.91192113e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  1.20000001e+00  4.73926356e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  1.20000001e+00  4.57147232e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  1.20000001e+00  4.40841461e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  1.20000001e+00  4.24995434e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  1.20000001e+00  4.09596304e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  1.20000001e+00  3.94631485e-12 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  1.20000001e+00  3.80088788e-12 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  1.20000001e+00  3.65956375e-12 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  1.20000001e+00  3.52222754e-12 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  1.20000001e+00  3.38875922e-12 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  1.20000000e+00  3.25905850e-12 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  1.20000000e+00  3.13301663e-12 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  1.20000000e+00  3.01052607e-12 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  1.20000000e+00  2.89149043e-12 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  1.20000000e+00  2.77581495e-12 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  1.20000000e+00  2.66339934e-12 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  1.20000000e+00  2.55415643e-12 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  1.20000000e+00  2.44799634e-12 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  1.20000000e+00  2.34482692e-12 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  1.20000000e+00  2.24456705e-12 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  1.20000000e+00  2.14713425e-12 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  1.20000000e+00  2.05245218e-12 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  1.20000000e+00  1.96043745e-12 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  1.20000000e+00  1.87102178e-12 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  1.20000000e+00  1.78412797e-12 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  1.20000000e+00  1.69968022e-12 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  1.20000000e+00  1.61761999e-12 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  1.20000000e+00  1.53787063e-12 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  1.20000000e+00  1.46036763e-12 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  1.20000000e+00  1.38505407e-12 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  1.20000000e+00  1.31186717e-12 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  1.20000000e+00  1.24073993e-12 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  1.20000000e+00  1.17162204e-12 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  1.20000000e+00  1.10445192e-12 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  1.20000000e+00  1.03917341e-12 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  1.20000000e+00  9.75738262e-13 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  1.20000000e+00  9.14095405e-13 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  1.20000000e+00  8.54189441e-13 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  1.20000000e+00  7.95972771e-13 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  1.20000000e+00  7.39393356e-13 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  1.20000000e+00  6.84413897e-13 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  1.20000000e+00  6.30985173e-13 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  1.20000000e+00  5.79061864e-13 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  1.20000000e+00  5.28604504e-13 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  1.20000000e+00  4.79571244e-13 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  1.20000000e+00  4.31919257e-13 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  1.20000000e+00  3.85609838e-13 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  1.20000000e+00  3.40610136e-13 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  1.20000000e+00  2.96876673e-13 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  1.20000000e+00  2.54379742e-13 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  1.20000000e+00  2.13074784e-13 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  1.20000000e+00  1.72937944e-13 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  1.20000000e+00  1.33934205e-13 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  1.20000000e+00  9.60348337e-14 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  1.20000000e+00  5.91985228e-14 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  1.20000000e+00  2.34045639e-14 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  1.20000000e+00 -1.13849902e-14 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  1.20000000e+00 -4.51870529e-14 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  1.20000000e+00 -7.80402219e-14 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  1.20000000e+00 -1.09962603e-13 
 7.22800000e-11  7.22800000e-11  0.00000000e+00  1.20000000e+00 -1.40990843e-13 
 7.32800000e-11  7.32800000e-11  0.00000000e+00  1.20000000e+00 -1.71140879e-13 
 7.42800000e-11  7.42800000e-11  0.00000000e+00  1.20000000e+00 -2.00439600e-13 
 7.52800000e-11  7.52800000e-11  0.00000000e+00  1.20000000e+00 -2.28912158e-13 
 7.62800000e-11  7.62800000e-11  0.00000000e+00  1.20000000e+00 -2.56582082e-13 
 7.72800000e-11  7.72800000e-11  0.00000000e+00  1.20000000e+00 -2.83471814e-13 
 7.82800000e-11  7.82800000e-11  0.00000000e+00  1.20000000e+00 -3.09604447e-13 
 7.92800000e-11  7.92800000e-11  0.00000000e+00  1.20000000e+00 -3.34998088e-13 
 8.02800000e-11  8.02800000e-11  0.00000000e+00  1.20000000e+00 -3.59677891e-13 
 8.12800000e-11  8.12800000e-11  0.00000000e+00  1.20000000e+00 -3.83657949e-13 
 8.22800000e-11  8.22800000e-11  0.00000000e+00  1.20000000e+00 -4.06962224e-13 
 8.32800000e-11  8.32800000e-11  0.00000000e+00  1.20000000e+00 -4.29613918e-13 
 8.42800000e-11  8.42800000e-11  0.00000000e+00  1.20000000e+00 -4.51621596e-13 
 8.52800000e-11  8.52800000e-11  0.00000000e+00  1.20000000e+00 -4.73010628e-13 
 8.62800000e-11  8.62800000e-11  0.00000000e+00  1.20000000e+00 -4.93795976e-13 
 8.72800000e-11  8.72800000e-11  0.00000000e+00  1.20000000e+00 -5.13993904e-13 
 8.82800000e-11  8.82800000e-11  0.00000000e+00  1.20000000e+00 -5.33625336e-13 
 8.92800000e-11  8.92800000e-11  0.00000000e+00  1.20000000e+00 -5.52698946e-13 
 9.02800000e-11  9.02800000e-11  0.00000000e+00  1.20000000e+00 -5.71242814e-13 
 9.12800000e-11  9.12800000e-11  0.00000000e+00  1.20000000e+00 -5.89257376e-13 
 9.22800000e-11  9.22800000e-11  0.00000000e+00  1.20000000e+00 -6.06764639e-13 
 9.32800000e-11  9.32800000e-11  0.00000000e+00  1.20000000e+00 -6.23779240e-13 
 9.42800000e-11  9.42800000e-11  0.00000000e+00  1.20000000e+00 -6.40308878e-13 
 9.52800000e-11  9.52800000e-11  0.00000000e+00  1.20000000e+00 -6.56379248e-13 
 9.62800000e-11  9.62800000e-11  0.00000000e+00  1.20000000e+00 -6.71991000e-13 
 9.72800000e-11  9.72800000e-11  0.00000000e+00  1.20000000e+00 -6.87163867e-13 
 9.82800000e-11  9.82800000e-11  0.00000000e+00  1.20000000e+00 -7.01911944e-13 
 9.92800000e-11  9.92800000e-11  0.00000000e+00  1.20000000e+00 -7.16241086e-13 
 1.00280000e-10  1.00280000e-10  0.00000000e+00  1.20000000e+00 -7.30165494e-13 
 1.01280000e-10  1.01280000e-10  0.00000000e+00  1.20000000e+00 -7.43697638e-13 
 1.02280000e-10  1.02280000e-10  0.00000000e+00  1.20000000e+00 -7.56851721e-13 
 1.03280000e-10  1.03280000e-10  0.00000000e+00  1.20000000e+00 -7.69630562e-13 
 1.04280000e-10  1.04280000e-10  0.00000000e+00  1.20000000e+00 -7.82050965e-13 
 1.05280000e-10  1.05280000e-10  0.00000000e+00  1.20000000e+00 -7.94120412e-13 
 1.06280000e-10  1.06280000e-10  0.00000000e+00  1.20000000e+00 -8.05848877e-13 
 1.07280000e-10  1.07280000e-10  0.00000000e+00  1.20000000e+00 -8.17249480e-13 
 1.08280000e-10  1.08280000e-10  0.00000000e+00  1.20000000e+00 -8.28323087e-13 
 1.09280000e-10  1.09280000e-10  0.00000000e+00  1.20000000e+00 -8.39091275e-13 
 1.10280000e-10  1.10280000e-10  0.00000000e+00  1.20000000e+00 -8.49548947e-13 
 1.11280000e-10  1.11280000e-10  0.00000000e+00  1.20000000e+00 -8.59718980e-13 
 1.12280000e-10  1.12280000e-10  0.00000000e+00  1.20000000e+00 -8.69599857e-13 
 1.13280000e-10  1.13280000e-10  0.00000000e+00  1.20000000e+00 -8.79195805e-13 
 1.14280000e-10  1.14280000e-10  0.00000000e+00  1.20000000e+00 -8.88527208e-13 
 1.15280000e-10  1.15280000e-10  0.00000000e+00  1.20000000e+00 -8.97594065e-13 
 1.16280000e-10  1.16280000e-10  0.00000000e+00  1.20000000e+00 -9.06400497e-13 
 1.17280000e-10  1.17280000e-10  0.00000000e+00  1.20000000e+00 -9.14964502e-13 
 1.18280000e-10  1.18280000e-10  0.00000000e+00  1.20000000e+00 -9.23286187e-13 
 1.19280000e-10  1.19280000e-10  0.00000000e+00  1.20000000e+00 -9.31371950e-13 
 1.20280000e-10  1.20280000e-10  0.00000000e+00  1.20000000e+00 -9.39230356e-13 
 1.21280000e-10  1.21280000e-10  0.00000000e+00  1.20000000e+00 -9.46869102e-13 
 1.22280000e-10  1.22280000e-10  0.00000000e+00  1.20000000e+00 -9.54292092e-13 
 1.23280000e-10  1.23280000e-10  0.00000000e+00  1.20000000e+00 -9.61504639e-13 
 1.24280000e-10  1.24280000e-10  0.00000000e+00  1.20000000e+00 -9.68507392e-13 
 1.25280000e-10  1.25280000e-10  0.00000000e+00  1.20000000e+00 -9.75323121e-13 
 1.26280000e-10  1.26280000e-10  0.00000000e+00  1.20000000e+00 -9.81940766e-13 
 1.27280000e-10  1.27280000e-10  0.00000000e+00  1.20000000e+00 -9.88372470e-13 
 1.28280000e-10  1.28280000e-10  0.00000000e+00  1.20000000e+00 -9.94621920e-13 
 1.29280000e-10  1.29280000e-10  0.00000000e+00  1.20000000e+00 -1.00069551e-12 
 1.30280000e-10  1.30280000e-10  0.00000000e+00  1.20000000e+00 -1.00660029e-12 
 1.31280000e-10  1.31280000e-10  0.00000000e+00  1.20000000e+00 -1.01233692e-12 
 1.32280000e-10  1.32280000e-10  0.00000000e+00  1.20000000e+00 -1.01791037e-12 
 1.33280000e-10  1.33280000e-10  0.00000000e+00  1.20000000e+00 -1.02332693e-12 
 1.34280000e-10  1.34280000e-10  0.00000000e+00  1.20000000e+00 -1.02859442e-12 
 1.35280000e-10  1.35280000e-10  0.00000000e+00  1.20000000e+00 -1.03371066e-12 
 1.36280000e-10  1.36280000e-10  0.00000000e+00  1.20000000e+00 -1.03868281e-12 
 1.37280000e-10  1.37280000e-10  0.00000000e+00  1.20000000e+00 -1.04351597e-12 
 1.38280000e-10  1.38280000e-10  0.00000000e+00  1.20000000e+00 -1.04820861e-12 
 1.39280000e-10  1.39280000e-10  0.00000000e+00  1.20000000e+00 -1.05277234e-12 
 1.40280000e-10  1.40280000e-10  0.00000000e+00  1.20000000e+00 -1.05720608e-12 
 1.41280000e-10  1.41280000e-10  0.00000000e+00  1.20000000e+00 -1.06151676e-12 
 1.42280000e-10  1.42280000e-10  0.00000000e+00  1.20000000e+00 -1.06570254e-12 
 1.43280000e-10  1.43280000e-10  0.00000000e+00  1.20000000e+00 -1.06977394e-12 
 1.44280000e-10  1.44280000e-10  0.00000000e+00  1.20000000e+00 -1.07372802e-12 
 1.45280000e-10  1.45280000e-10  0.00000000e+00  1.20000000e+00 -1.07757087e-12 
 1.46280000e-10  1.46280000e-10  0.00000000e+00  1.20000000e+00 -1.08130822e-12 
 1.47280000e-10  1.47280000e-10  0.00000000e+00  1.20000000e+00 -1.08493683e-12 
 1.48280000e-10  1.48280000e-10  0.00000000e+00  1.20000000e+00 -1.08846515e-12 
 1.49280000e-10  1.49280000e-10  0.00000000e+00  1.20000000e+00 -1.09188982e-12 
 1.50280000e-10  1.50280000e-10  0.00000000e+00  1.20000000e+00 -1.09522005e-12 
 1.51280000e-10  1.51280000e-10  0.00000000e+00  1.20000000e+00 -1.09846236e-12 
 1.52280000e-10  1.52280000e-10  0.00000000e+00  1.20000000e+00 -1.10160709e-12 
 1.53280000e-10  1.53280000e-10  0.00000000e+00  1.20000000e+00 -1.10466356e-12 
 1.54280000e-10  1.54280000e-10  0.00000000e+00  1.20000000e+00 -1.10763308e-12 
 1.55280000e-10  1.55280000e-10  0.00000000e+00  1.20000000e+00 -1.11052226e-12 
 1.56280000e-10  1.56280000e-10  0.00000000e+00  1.20000000e+00 -1.11332438e-12 
 1.57280000e-10  1.57280000e-10  0.00000000e+00  1.20000000e+00 -1.11605170e-12 
 1.58280000e-10  1.58280000e-10  0.00000000e+00  1.20000000e+00 -1.11869943e-12 
 1.59280000e-10  1.59280000e-10  0.00000000e+00  1.20000000e+00 -1.12127668e-12 
 1.60280000e-10  1.60280000e-10  0.00000000e+00  1.20000000e+00 -1.12377935e-12 
 1.61280000e-10  1.61280000e-10  0.00000000e+00  1.20000000e+00 -1.12620883e-12 
 1.62280000e-10  1.62280000e-10  0.00000000e+00  1.20000000e+00 -1.12857488e-12 
 1.63280000e-10  1.63280000e-10  0.00000000e+00  1.20000000e+00 -1.13087306e-12 
 1.64280000e-10  1.64280000e-10  0.00000000e+00  1.20000000e+00 -1.13310598e-12 
 1.65280000e-10  1.65280000e-10  0.00000000e+00  1.20000000e+00 -1.13526940e-12 
 1.66280000e-10  1.66280000e-10  0.00000000e+00  1.20000000e+00 -1.13737600e-12 
 1.67280000e-10  1.67280000e-10  0.00000000e+00  1.20000000e+00 -1.13942677e-12 
 1.68280000e-10  1.68280000e-10  0.00000000e+00  1.20000000e+00 -1.14141726e-12 
 1.69280000e-10  1.69280000e-10  0.00000000e+00  1.20000000e+00 -1.14334941e-12 
 1.70280000e-10  1.70280000e-10  0.00000000e+00  1.20000000e+00 -1.14522920e-12 
 1.71280000e-10  1.71280000e-10  0.00000000e+00  1.20000000e+00 -1.14705717e-12 
 1.72280000e-10  1.72280000e-10  0.00000000e+00  1.20000000e+00 -1.14883320e-12 
 1.73280000e-10  1.73280000e-10  0.00000000e+00  1.20000000e+00 -1.15055881e-12 
 1.74280000e-10  1.74280000e-10  0.00000000e+00  1.20000000e+00 -1.15223618e-12 
 1.75280000e-10  1.75280000e-10  0.00000000e+00  1.20000000e+00 -1.15386401e-12 
 1.76280000e-10  1.76280000e-10  0.00000000e+00  1.20000000e+00 -1.15544629e-12 
 1.77280000e-10  1.77280000e-10  0.00000000e+00  1.20000000e+00 -1.15698445e-12 
 1.78280000e-10  1.78280000e-10  0.00000000e+00  1.20000000e+00 -1.15848075e-12 
 1.79280000e-10  1.79280000e-10  0.00000000e+00  1.20000000e+00 -1.15993445e-12 
 1.80280000e-10  1.80280000e-10  0.00000000e+00  1.20000000e+00 -1.16134283e-12 
 1.81280000e-10  1.81280000e-10  0.00000000e+00  1.20000000e+00 -1.16271912e-12 
 1.82280000e-10  1.82280000e-10  0.00000000e+00  1.20000000e+00 -1.16405236e-12 
 1.83280000e-10  1.83280000e-10  0.00000000e+00  1.20000000e+00 -1.16534733e-12 
 1.84280000e-10  1.84280000e-10  0.00000000e+00  1.20000000e+00 -1.16660652e-12 
 1.85280000e-10  1.85280000e-10  0.00000000e+00  1.20000000e+00 -1.16783200e-12 
 1.86280000e-10  1.86280000e-10  0.00000000e+00  1.20000000e+00 -1.16901887e-12 
 1.87280000e-10  1.87280000e-10  0.00000000e+00  1.20000000e+00 -1.17017398e-12 
 1.88280000e-10  1.88280000e-10  0.00000000e+00  1.20000000e+00 -1.17129830e-12 
 1.89280000e-10  1.89280000e-10  0.00000000e+00  1.20000000e+00 -1.17239172e-12 
 1.90280000e-10  1.90280000e-10  0.00000000e+00  1.20000000e+00 -1.17344892e-12 
 1.91280000e-10  1.91280000e-10  0.00000000e+00  1.20000000e+00 -1.17448477e-12 
 1.92280000e-10  1.92280000e-10  0.00000000e+00  1.20000000e+00 -1.17548365e-12 
 1.93280000e-10  1.93280000e-10  0.00000000e+00  1.20000000e+00 -1.17645748e-12 
 1.94280000e-10  1.94280000e-10  0.00000000e+00  1.20000000e+00 -1.17740062e-12 
 1.95280000e-10  1.95280000e-10  0.00000000e+00  1.20000000e+00 -1.17831862e-12 
 1.96280000e-10  1.96280000e-10  0.00000000e+00  1.20000000e+00 -1.17921634e-12 
 1.97280000e-10  1.97280000e-10  0.00000000e+00  1.20000000e+00 -1.18008337e-12 
 1.98280000e-10  1.98280000e-10  0.00000000e+00  1.20000000e+00 -1.18092656e-12 
 1.99140000e-10  1.99140000e-10  0.00000000e+00  1.20000000e+00 -1.18163053e-12 
 2.00000000e-10  2.00000000e-10  0.00000000e+00  1.20000000e+00 -1.18232670e-12 
 2.00100000e-10  2.00100000e-10  6.00000000e-03  1.20093129e+00  2.01540027e-04 
 2.00300000e-10  2.00300000e-10  1.80000000e-02  1.20278932e+00  2.02589110e-04 
 2.00700000e-10  2.00700000e-10  4.20000000e-02  1.20647795e+00  2.04731625e-04 
 2.01500000e-10  2.01500000e-10  9.00000000e-02  1.21375610e+00  2.08334158e-04 
 2.02500000e-10  2.02500000e-10  1.50000000e-01  1.22269534e+00  2.12026723e-04 
 2.03500000e-10  2.03500000e-10  2.10000000e-01  1.23149701e+00  2.14566326e-04 
 2.04500000e-10  2.04500000e-10  2.70000000e-01  1.24020336e+00  2.16175130e-04 
 2.05500000e-10  2.05500000e-10  3.30000000e-01  1.24885677e+00  2.16583786e-04 
 2.06500000e-10  2.06500000e-10  3.90000000e-01  1.25750068e+00  2.15943347e-04 
 2.07500000e-10  2.07500000e-10  4.50000000e-01  1.26617693e+00  2.13871153e-04 
 2.08500000e-10  2.08500000e-10  5.10000000e-01  1.27487648e+00  2.10308065e-04 
 2.09500000e-10  2.09500000e-10  5.70000000e-01  1.28353140e+00  2.04492403e-04 
 2.10500000e-10  2.10500000e-10  6.30000000e-01  1.29207278e+00  1.95548602e-04 
 2.11500000e-10  2.11500000e-10  6.90000000e-01  1.30045886e+00  1.80473615e-04 
 2.12500000e-10  2.12500000e-10  7.50000000e-01  1.30869837e+00  1.49966332e-04 
 2.13500000e-10  2.13500000e-10  8.10000000e-01  1.31676321e+00  6.38993618e-05 
 2.14500000e-10  2.14500000e-10  8.70000000e-01  1.32431677e+00  6.01474534e-05 
 2.15500000e-10  2.15500000e-10  9.30000000e-01  1.33095449e+00  5.85069296e-05 
 2.16500000e-10  2.16500000e-10  9.90000000e-01  1.33593047e+00  7.96930179e-05 
 2.17500000e-10  2.17500000e-10  1.05000000e+00  1.33831610e+00  1.06659668e-04 
 2.18500000e-10  2.18500000e-10  1.11000000e+00  1.33761844e+00  1.35631593e-04 
 2.19250000e-10  2.19250000e-10  1.15500000e+00  1.33480886e+00  1.58666105e-04 
 2.20000000e-10  2.20000000e-10  1.20000000e+00  1.32979437e+00  1.83161771e-04 
 2.20100000e-10  2.20100000e-10  1.20000000e+00  1.32849631e+00  1.55585780e-12 
 2.20300000e-10  2.20300000e-10  1.20000000e+00  1.32589720e+00  1.41583744e-12 
 2.20700000e-10  2.20700000e-10  1.20000000e+00  1.32068733e+00  1.17346854e-12 
 2.21500000e-10  2.21500000e-10  1.20000000e+00  1.31022058e+00  8.09304877e-13 
 2.22500000e-10  2.22500000e-10  1.20000000e+00  1.29706263e+00  5.13412781e-13 
