 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.30285539e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58827724e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.58731274e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.58510964e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.58070604e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.57199860e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.55459238e-12 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.50000000e+00  3.52000460e-12 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.50000000e+00  3.46630537e-12 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.50000000e+00  3.41309966e-12 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.50000000e+00  3.36036234e-12 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.50000000e+00  3.30809598e-12 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.50000000e+00  3.25629801e-12 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.50000000e+00  3.20496407e-12 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.50000000e+00  3.15407422e-12 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.50000000e+00  3.10364841e-12 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.50000000e+00  3.05365976e-12 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.50000000e+00  3.00412386e-12 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.50000000e+00  2.95503292e-12 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.50000000e+00  2.90637393e-12 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.50000000e+00  2.85815729e-12 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.50000000e+00  2.81035872e-12 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.50000000e+00  2.76299036e-12 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.50000000e+00  2.71604180e-12 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.50000000e+00  2.66951999e-12 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.50000000e+00  2.62340063e-12 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.50000000e+00  2.57769153e-12 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.50000000e+00  2.53239530e-12 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.50000000e+00  2.48749979e-12 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.50000000e+00  2.44300673e-12 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.50000000e+00  2.39890139e-12 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.50000000e+00  2.35519156e-12 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.50000000e+00  2.31188072e-12 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.50000000e+00  2.26894458e-12 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.50000000e+00  2.22640396e-12 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.50000000e+00  2.18423109e-12 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.50000000e+00  2.14242773e-12 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.50000000e+00  2.10101294e-12 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.50000000e+00  2.05995377e-12 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.50000000e+00  2.01926583e-12 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.50000000e+00  1.97894565e-12 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.50000000e+00  1.93897589e-12 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.50000000e+00  1.89936782e-12 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.50000000e+00  1.86011276e-12 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.50000000e+00  1.82119510e-12 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.50000000e+00  1.78263047e-12 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.50000000e+00  1.74441364e-12 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.50000000e+00  1.70653509e-12 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.50000000e+00  1.66899567e-12 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.50000000e+00  1.63178845e-12 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.50000000e+00  1.59492038e-12 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.50000000e+00  1.55836542e-12 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.50000000e+00  1.52214439e-12 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.50000000e+00  1.48624169e-12 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.50000000e+00  1.45066424e-12 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.50000000e+00  1.41539992e-12 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.50000000e+00  1.38044957e-12 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.50000000e+00  1.34580107e-12 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  2.50000000e+00  1.31147610e-12 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  2.50000000e+00  1.27744863e-12 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  2.50000000e+00  1.24372734e-12 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  2.50000000e+00  1.21031744e-12 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  2.50000000e+00  1.17718769e-12 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  2.50000000e+00  1.14435631e-12 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  2.50000000e+00  1.11182070e-12 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  2.50000000e+00  1.07956786e-12 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  2.50000000e+00  1.04760818e-12 
