 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.50000000e+00 -2.51000176e-12 
 5.00000000e-15  5.00000000e-15  0.00000000e+00  2.50000000e+00  3.30286493e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.50000000e+00  3.58831628e-12 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.50000000e+00  3.58717049e-12 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.50000000e+00  3.58522066e-12 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.50000000e+00  3.58087605e-12 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.50000000e+00  3.57230218e-12 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.50000000e+00  3.55524464e-12 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.50000000e+00  3.52122324e-12 
 1.14000000e-12  1.14000000e-12  0.00000000e+00  2.50000000e+00  3.46847984e-12 
 1.64000000e-12  1.64000000e-12  0.00000000e+00  2.50000000e+00  3.41618140e-12 
 2.14000000e-12  2.14000000e-12  0.00000000e+00  2.50000000e+00  3.36435654e-12 
 2.64000000e-12  2.64000000e-12  0.00000000e+00  2.50000000e+00  3.31299571e-12 
 3.14000000e-12  3.14000000e-12  0.00000000e+00  2.50000000e+00  3.26206336e-12 
 3.64000000e-12  3.64000000e-12  0.00000000e+00  2.50000000e+00  3.21158551e-12 
 4.14000000e-12  4.14000000e-12  0.00000000e+00  2.50000000e+00  3.16154481e-12 
 4.64000000e-12  4.64000000e-12  0.00000000e+00  2.50000000e+00  3.11193172e-12 
 5.14000000e-12  5.14000000e-12  0.00000000e+00  2.50000000e+00  3.06277920e-12 
 5.64000000e-12  5.64000000e-12  0.00000000e+00  2.50000000e+00  3.01402913e-12 
 6.14000000e-12  6.14000000e-12  0.00000000e+00  2.50000000e+00  2.96572229e-12 
 6.64000000e-12  6.64000000e-12  0.00000000e+00  2.50000000e+00  2.91783871e-12 
 7.14000000e-12  7.14000000e-12  0.00000000e+00  2.50000000e+00  2.87037494e-12 
 7.64000000e-12  7.64000000e-12  0.00000000e+00  2.50000000e+00  2.82330843e-12 
 8.14000000e-12  8.14000000e-12  0.00000000e+00  2.50000000e+00  2.77665738e-12 
 8.64000000e-12  8.64000000e-12  0.00000000e+00  2.50000000e+00  2.73042526e-12 
 9.14000000e-12  9.14000000e-12  0.00000000e+00  2.50000000e+00  2.68458866e-12 
 9.64000000e-12  9.64000000e-12  0.00000000e+00  2.50000000e+00  2.63916753e-12 
 1.01400000e-11  1.01400000e-11  0.00000000e+00  2.50000000e+00  2.59412630e-12 
 1.06400000e-11  1.06400000e-11  0.00000000e+00  2.50000000e+00  2.54949967e-12 
 1.11400000e-11  1.11400000e-11  0.00000000e+00  2.50000000e+00  2.50523647e-12 
 1.16400000e-11  1.16400000e-11  0.00000000e+00  2.50000000e+00  2.46138353e-12 
 1.21400000e-11  1.21400000e-11  0.00000000e+00  2.50000000e+00  2.41790182e-12 
 1.26400000e-11  1.26400000e-11  0.00000000e+00  2.50000000e+00  2.37481562e-12 
 1.31400000e-11  1.31400000e-11  0.00000000e+00  2.50000000e+00  2.33208071e-12 
 1.36400000e-11  1.36400000e-11  0.00000000e+00  2.50000000e+00  2.28973524e-12 
 1.41400000e-11  1.41400000e-11  0.00000000e+00  2.50000000e+00  2.24775840e-12 
 1.46400000e-11  1.46400000e-11  0.00000000e+00  2.50000000e+00  2.20614846e-12 
 1.51400000e-11  1.51400000e-11  0.00000000e+00  2.50000000e+00  2.16488199e-12 
 1.56400000e-11  1.56400000e-11  0.00000000e+00  2.50000000e+00  2.12402491e-12 
 1.61400000e-11  1.61400000e-11  0.00000000e+00  2.50000000e+00  2.08347922e-12 
 1.66400000e-11  1.66400000e-11  0.00000000e+00  2.50000000e+00  2.04332037e-12 
 1.71400000e-11  1.71400000e-11  0.00000000e+00  2.50000000e+00  2.00348332e-12 
 1.76400000e-11  1.76400000e-11  0.00000000e+00  2.50000000e+00  1.96403310e-12 
 1.81400000e-11  1.81400000e-11  0.00000000e+00  2.50000000e+00  1.92488907e-12 
 1.86400000e-11  1.86400000e-11  0.00000000e+00  2.50000000e+00  1.88611366e-12 
 1.91400000e-11  1.91400000e-11  0.00000000e+00  2.50000000e+00  1.84765224e-12 
