 time            time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000010e+00 -2.01000024e-12 
 1.00000000e-14  1.00000000e-14  0.00000000e+00  2.00000010e+00  1.44534137e-10 
 2.00000000e-14  2.00000000e-14  0.00000000e+00  2.00000010e+00  1.44981377e-10 
 4.00000000e-14  4.00000000e-14  0.00000000e+00  2.00000010e+00  1.44942473e-10 
 8.00000000e-14  8.00000000e-14  0.00000000e+00  2.00000010e+00  1.44864206e-10 
 1.60000000e-13  1.60000000e-13  0.00000000e+00  2.00000010e+00  1.44707702e-10 
 3.20000000e-13  3.20000000e-13  0.00000000e+00  2.00000010e+00  1.44395268e-10 
 6.40000000e-13  6.40000000e-13  0.00000000e+00  2.00000010e+00  1.43772320e-10 
 1.28000000e-12  1.28000000e-12  0.00000000e+00  2.00000010e+00  1.42534388e-10 
 2.28000000e-12  2.28000000e-12  0.00000000e+00  2.00000010e+00  1.40621117e-10 
 3.28000000e-12  3.28000000e-12  0.00000000e+00  2.00000010e+00  1.38733165e-10 
 4.28000000e-12  4.28000000e-12  0.00000000e+00  2.00000010e+00  1.36870203e-10 
 5.28000000e-12  5.28000000e-12  0.00000000e+00  2.00000010e+00  1.35031904e-10 
 6.28000000e-12  6.28000000e-12  0.00000000e+00  2.00000010e+00  1.33217939e-10 
 7.28000000e-12  7.28000000e-12  0.00000000e+00  2.00000010e+00  1.31427977e-10 
 8.28000000e-12  8.28000000e-12  0.00000000e+00  2.00000009e+00  1.29661715e-10 
 9.28000000e-12  9.28000000e-12  0.00000000e+00  2.00000009e+00  1.27918827e-10 
 1.02800000e-11  1.02800000e-11  0.00000000e+00  2.00000009e+00  1.26199013e-10 
 1.12800000e-11  1.12800000e-11  0.00000000e+00  2.00000009e+00  1.24501962e-10 
 1.22800000e-11  1.22800000e-11  0.00000000e+00  2.00000009e+00  1.22827373e-10 
 1.32800000e-11  1.32800000e-11  0.00000000e+00  2.00000009e+00  1.21174949e-10 
 1.42800000e-11  1.42800000e-11  0.00000000e+00  2.00000009e+00  1.19544404e-10 
 1.52800000e-11  1.52800000e-11  0.00000000e+00  2.00000009e+00  1.17935434e-10 
 1.62800000e-11  1.62800000e-11  0.00000000e+00  2.00000008e+00  1.16347766e-10 
 1.72800000e-11  1.72800000e-11  0.00000000e+00  2.00000008e+00  1.14781113e-10 
 1.82800000e-11  1.82800000e-11  0.00000000e+00  2.00000008e+00  1.13235195e-10 
 1.92800000e-11  1.92800000e-11  0.00000000e+00  2.00000008e+00  1.11709738e-10 
 2.02800000e-11  2.02800000e-11  0.00000000e+00  2.00000008e+00  1.10204480e-10 
 2.12800000e-11  2.12800000e-11  0.00000000e+00  2.00000008e+00  1.08719140e-10 
 2.22800000e-11  2.22800000e-11  0.00000000e+00  2.00000008e+00  1.07253463e-10 
 2.32800000e-11  2.32800000e-11  0.00000000e+00  2.00000008e+00  1.05807188e-10 
 2.42800000e-11  2.42800000e-11  0.00000000e+00  2.00000008e+00  1.04380054e-10 
 2.52800000e-11  2.52800000e-11  0.00000000e+00  2.00000007e+00  1.02971814e-10 
 2.62800000e-11  2.62800000e-11  0.00000000e+00  2.00000007e+00  1.01582209e-10 
 2.72800000e-11  2.72800000e-11  0.00000000e+00  2.00000007e+00  1.00211004e-10 
 2.82800000e-11  2.82800000e-11  0.00000000e+00  2.00000007e+00  9.88579435e-11 
 2.92800000e-11  2.92800000e-11  0.00000000e+00  2.00000007e+00  9.75227971e-11 
 3.02800000e-11  3.02800000e-11  0.00000000e+00  2.00000007e+00  9.62053219e-11 
 3.12800000e-11  3.12800000e-11  0.00000000e+00  2.00000007e+00  9.49052855e-11 
 3.22800000e-11  3.22800000e-11  0.00000000e+00  2.00000007e+00  9.36224592e-11 
 3.32800000e-11  3.32800000e-11  0.00000000e+00  2.00000007e+00  9.23566067e-11 
 3.42800000e-11  3.42800000e-11  0.00000000e+00  2.00000007e+00  9.11075178e-11 
 3.52800000e-11  3.52800000e-11  0.00000000e+00  2.00000007e+00  8.98749582e-11 
 3.62800000e-11  3.62800000e-11  0.00000000e+00  2.00000006e+00  8.86587106e-11 
 3.72800000e-11  3.72800000e-11  0.00000000e+00  2.00000006e+00  8.74585651e-11 
 3.82800000e-11  3.82800000e-11  0.00000000e+00  2.00000006e+00  8.62743058e-11 
 3.92800000e-11  3.92800000e-11  0.00000000e+00  2.00000006e+00  8.51057241e-11 
 4.02800000e-11  4.02800000e-11  0.00000000e+00  2.00000006e+00  8.39526057e-11 
 4.12800000e-11  4.12800000e-11  0.00000000e+00  2.00000006e+00  8.28147520e-11 
 4.22800000e-11  4.22800000e-11  0.00000000e+00  2.00000006e+00  8.16919627e-11 
 4.32800000e-11  4.32800000e-11  0.00000000e+00  2.00000006e+00  8.05840308e-11 
 4.42800000e-11  4.42800000e-11  0.00000000e+00  2.00000006e+00  7.94907703e-11 
 4.52800000e-11  4.52800000e-11  0.00000000e+00  2.00000006e+00  7.84119809e-11 
 4.62800000e-11  4.62800000e-11  0.00000000e+00  2.00000006e+00  7.73474704e-11 
 4.72800000e-11  4.72800000e-11  0.00000000e+00  2.00000006e+00  7.62970429e-11 
 4.82800000e-11  4.82800000e-11  0.00000000e+00  2.00000005e+00  7.52605270e-11 
 4.92800000e-11  4.92800000e-11  0.00000000e+00  2.00000005e+00  7.42377284e-11 
 5.02800000e-11  5.02800000e-11  0.00000000e+00  2.00000005e+00  7.32284680e-11 
 5.12800000e-11  5.12800000e-11  0.00000000e+00  2.00000005e+00  7.22325676e-11 
 5.22800000e-11  5.22800000e-11  0.00000000e+00  2.00000005e+00  7.12498511e-11 
 5.32800000e-11  5.32800000e-11  0.00000000e+00  2.00000005e+00  7.02801367e-11 
 5.42800000e-11  5.42800000e-11  0.00000000e+00  2.00000005e+00  6.93232615e-11 
 5.52800000e-11  5.52800000e-11  0.00000000e+00  2.00000005e+00  6.83790524e-11 
 5.62800000e-11  5.62800000e-11  0.00000000e+00  2.00000005e+00  6.74473381e-11 
 5.72800000e-11  5.72800000e-11  0.00000000e+00  2.00000005e+00  6.65279555e-11 
 5.82800000e-11  5.82800000e-11  0.00000000e+00  2.00000005e+00  6.56207493e-11 
 5.92800000e-11  5.92800000e-11  0.00000000e+00  2.00000005e+00  6.47255522e-11 
 6.02800000e-11  6.02800000e-11  0.00000000e+00  2.00000005e+00  6.38422002e-11 
 6.12800000e-11  6.12800000e-11  0.00000000e+00  2.00000005e+00  6.29705428e-11 
 6.22800000e-11  6.22800000e-11  0.00000000e+00  2.00000004e+00  6.21104197e-11 
 6.32800000e-11  6.32800000e-11  0.00000000e+00  2.00000004e+00  6.12616828e-11 
 6.42800000e-11  6.42800000e-11  0.00000000e+00  2.00000004e+00  6.04241869e-11 
 6.52800000e-11  6.52800000e-11  0.00000000e+00  2.00000004e+00  5.95977642e-11 
 6.62800000e-11  6.62800000e-11  0.00000000e+00  2.00000004e+00  5.87822924e-11 
 6.72800000e-11  6.72800000e-11  0.00000000e+00  2.00000004e+00  5.79776110e-11 
 6.82800000e-11  6.82800000e-11  0.00000000e+00  2.00000004e+00  5.71835751e-11 
 6.92800000e-11  6.92800000e-11  0.00000000e+00  2.00000004e+00  5.64000556e-11 
 7.02800000e-11  7.02800000e-11  0.00000000e+00  2.00000004e+00  5.56269076e-11 
 7.12800000e-11  7.12800000e-11  0.00000000e+00  2.00000004e+00  5.48639871e-11 
 7.22800000e-11  7.22800000e-11  0.00000000e+00  2.00000004e+00  5.41111704e-11 
 7.32800000e-11  7.32800000e-11  0.00000000e+00  2.00000004e+00  5.33683158e-11 
 7.42800000e-11  7.42800000e-11  0.00000000e+00  2.00000004e+00  5.26352963e-11 
 7.52800000e-11  7.52800000e-11  0.00000000e+00  2.00000004e+00  5.19119726e-11 
 7.62800000e-11  7.62800000e-11  0.00000000e+00  2.00000004e+00  5.11982310e-11 
 7.72800000e-11  7.72800000e-11  0.00000000e+00  2.00000004e+00  5.04939385e-11 
 7.82800000e-11  7.82800000e-11  0.00000000e+00  2.00000004e+00  4.97989636e-11 
 7.92800000e-11  7.92800000e-11  0.00000000e+00  2.00000004e+00  4.91131883e-11 
 8.02800000e-11  8.02800000e-11  0.00000000e+00  2.00000004e+00  4.84364922e-11 
 8.12800000e-11  8.12800000e-11  0.00000000e+00  2.00000003e+00  4.77687473e-11 
 8.22800000e-11  8.22800000e-11  0.00000000e+00  2.00000003e+00  4.71098473e-11 
 8.32800000e-11  8.32800000e-11  0.00000000e+00  2.00000003e+00  4.64596668e-11 
 8.42800000e-11  8.42800000e-11  0.00000000e+00  2.00000003e+00  4.58180932e-11 
 8.52800000e-11  8.52800000e-11  0.00000000e+00  2.00000003e+00  4.51850115e-11 
 8.62800000e-11  8.62800000e-11  0.00000000e+00  2.00000003e+00  4.45603112e-11 
 8.72800000e-11  8.72800000e-11  0.00000000e+00  2.00000003e+00  4.39438785e-11 
 8.82800000e-11  8.82800000e-11  0.00000000e+00  2.00000003e+00  4.33356046e-11 
 8.92800000e-11  8.92800000e-11  0.00000000e+00  2.00000003e+00  4.27353825e-11 
 9.02800000e-11  9.02800000e-11  0.00000000e+00  2.00000003e+00  4.21431089e-11 
 9.12800000e-11  9.12800000e-11  0.00000000e+00  2.00000003e+00  4.15586697e-11 
 9.22800000e-11  9.22800000e-11  0.00000000e+00  2.00000003e+00  4.09819665e-11 
 9.32800000e-11  9.32800000e-11  0.00000000e+00  2.00000003e+00  4.04129022e-11 
 9.42800000e-11  9.42800000e-11  0.00000000e+00  2.00000003e+00  3.98513648e-11 
 9.52800000e-11  9.52800000e-11  0.00000000e+00  2.00000003e+00  3.92972660e-11 
 9.62800000e-11  9.62800000e-11  0.00000000e+00  2.00000003e+00  3.87504954e-11 
 9.72800000e-11  9.72800000e-11  0.00000000e+00  2.00000003e+00  3.82109665e-11 
 9.82800000e-11  9.82800000e-11  0.00000000e+00  2.00000003e+00  3.76785764e-11 
 9.92800000e-11  9.92800000e-11  0.00000000e+00  2.00000003e+00  3.71532362e-11 
 1.00280000e-10  1.00280000e-10  0.00000000e+00  2.00000003e+00  3.66348423e-11 
 1.01280000e-10  1.01280000e-10  0.00000000e+00  2.00000003e+00  3.61233222e-11 
 1.02280000e-10  1.02280000e-10  0.00000000e+00  2.00000003e+00  3.56185680e-11 
 1.03280000e-10  1.03280000e-10  0.00000000e+00  2.00000003e+00  3.51204864e-11 
 1.04280000e-10  1.04280000e-10  0.00000000e+00  2.00000003e+00  3.46290097e-11 
 1.05280000e-10  1.05280000e-10  0.00000000e+00  2.00000002e+00  3.41440274e-11 
 1.06280000e-10  1.06280000e-10  0.00000000e+00  2.00000002e+00  3.36654741e-11 
 1.07280000e-10  1.07280000e-10  0.00000000e+00  2.00000002e+00  3.31932502e-11 
 1.08280000e-10  1.08280000e-10  0.00000000e+00  2.00000002e+00  3.27272801e-11 
 1.09280000e-10  1.09280000e-10  0.00000000e+00  2.00000002e+00  3.22674791e-11 
 1.10280000e-10  1.10280000e-10  0.00000000e+00  2.00000002e+00  3.18137604e-11 
 1.11280000e-10  1.11280000e-10  0.00000000e+00  2.00000002e+00  3.13660512e-11 
 1.12280000e-10  1.12280000e-10  0.00000000e+00  2.00000002e+00  3.09242623e-11 
 1.13280000e-10  1.13280000e-10  0.00000000e+00  2.00000002e+00  3.04883280e-11 
 1.14280000e-10  1.14280000e-10  0.00000000e+00  2.00000002e+00  3.00581595e-11 
 1.15280000e-10  1.15280000e-10  0.00000000e+00  2.00000002e+00  2.96336848e-11 
 1.16280000e-10  1.16280000e-10  0.00000000e+00  2.00000002e+00  2.92148280e-11 
 1.17280000e-10  1.17280000e-10  0.00000000e+00  2.00000002e+00  2.88015198e-11 
 1.18280000e-10  1.18280000e-10  0.00000000e+00  2.00000002e+00  2.83936824e-11 
 1.19280000e-10  1.19280000e-10  0.00000000e+00  2.00000002e+00  2.79912395e-11 
 1.20280000e-10  1.20280000e-10  0.00000000e+00  2.00000002e+00  2.75941275e-11 
 1.21280000e-10  1.21280000e-10  0.00000000e+00  2.00000002e+00  2.72022726e-11 
 1.22280000e-10  1.22280000e-10  0.00000000e+00  2.00000002e+00  2.68155988e-11 
 1.23280000e-10  1.23280000e-10  0.00000000e+00  2.00000002e+00  2.64340498e-11 
 1.24280000e-10  1.24280000e-10  0.00000000e+00  2.00000002e+00  2.60575446e-11 
 1.25280000e-10  1.25280000e-10  0.00000000e+00  2.00000002e+00  2.56860258e-11 
 1.26280000e-10  1.26280000e-10  0.00000000e+00  2.00000002e+00  2.53194202e-11 
 1.27280000e-10  1.27280000e-10  0.00000000e+00  2.00000002e+00  2.49576722e-11 
 1.28280000e-10  1.28280000e-10  0.00000000e+00  2.00000002e+00  2.46007151e-11 
 1.29280000e-10  1.29280000e-10  0.00000000e+00  2.00000002e+00  2.42484795e-11 
