 time            time            v(clk)          v(a)            v(b)            v(x)            v(y)           
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.25000000e+00  6.76199658e-01 
 1.00000000e-14  1.00000000e-14  1.25000000e-03  0.00000000e+00  0.00000000e+00  1.24993126e+00  6.76194779e-01 
 2.00000000e-14  2.00000000e-14  2.50000000e-03  0.00000000e+00  0.00000000e+00  1.24986252e+00  6.76189943e-01 
 4.00000000e-14  4.00000000e-14  5.00000000e-03  0.00000000e+00  0.00000000e+00  1.24972506e+00  6.76180360e-01 
 8.00000000e-14  8.00000000e-14  1.00000000e-02  0.00000000e+00  0.00000000e+00  1.24945018e+00  6.76161720e-01 
 1.60000000e-13  1.60000000e-13  2.00000000e-02  0.00000000e+00  0.00000000e+00  1.24890060e+00  6.76126546e-01 
 3.20000000e-13  3.20000000e-13  4.00000000e-02  0.00000000e+00  0.00000000e+00  1.24780220e+00  6.76064615e-01 
 6.40000000e-13  6.40000000e-13  8.00000000e-02  0.00000000e+00  0.00000000e+00  1.24560838e+00  6.75974365e-01 
 1.28000000e-12  1.28000000e-12  1.60000000e-01  0.00000000e+00  0.00000000e+00  1.24123258e+00  6.75927907e-01 
 2.28000000e-12  2.28000000e-12  2.85000000e-01  0.00000000e+00  0.00000000e+00  1.23442630e+00  6.76211497e-01 
 3.28000000e-12  3.28000000e-12  4.10000000e-01  0.00000000e+00  0.00000000e+00  1.22765664e+00  6.76927342e-01 
 4.28000000e-12  4.28000000e-12  5.35000000e-01  0.00000000e+00  0.00000000e+00  1.22107132e+00  6.78078924e-01 
 5.28000000e-12  5.28000000e-12  6.60000000e-01  0.00000000e+00  0.00000000e+00  1.21523519e+00  6.79675580e-01 
 6.28000000e-12  6.28000000e-12  7.85000000e-01  0.00000000e+00  0.00000000e+00  1.21098562e+00  6.81698648e-01 
 7.28000000e-12  7.28000000e-12  9.10000000e-01  0.00000000e+00  0.00000000e+00  1.20916238e+00  6.84073412e-01 
 8.28000000e-12  8.28000000e-12  1.03500000e+00  0.00000000e+00  0.00000000e+00  1.21060017e+00  6.86669505e-01 
 9.28000000e-12  9.28000000e-12  1.16000000e+00  0.00000000e+00  0.00000000e+00  1.21612525e+00  6.89303612e-01 
 1.02800000e-11  1.02800000e-11  1.28500000e+00  0.00000000e+00  0.00000000e+00  1.22655053e+00  6.91744692e-01 
 1.12800000e-11  1.12800000e-11  1.41000000e+00  0.00000000e+00  0.00000000e+00  1.24267022e+00  6.93721555e-01 
 1.22800000e-11  1.22800000e-11  1.53500000e+00  0.00000000e+00  0.00000000e+00  1.26525520e+00  6.94932502e-01 
 1.32800000e-11  1.32800000e-11  1.66000000e+00  0.00000000e+00  0.00000000e+00  1.29450576e+00  6.95033692e-01 
 1.42800000e-11  1.42800000e-11  1.78500000e+00  0.00000000e+00  0.00000000e+00  1.32804438e+00  6.93588609e-01 
 1.52800000e-11  1.52800000e-11  1.91000000e+00  0.00000000e+00  0.00000000e+00  1.36425119e+00  6.90352108e-01 
 1.62800000e-11  1.62800000e-11  2.03500000e+00  0.00000000e+00  0.00000000e+00  1.40378810e+00  6.85299352e-01 
 1.72800000e-11  1.72800000e-11  2.16000000e+00  0.00000000e+00  0.00000000e+00  1.44666854e+00  6.78362215e-01 
 1.82800000e-11  1.82800000e-11  2.28500000e+00  0.00000000e+00  0.00000000e+00  1.49258413e+00  6.69482867e-01 
 1.91400000e-11  1.91400000e-11  2.39250000e+00  0.00000000e+00  0.00000000e+00  1.53412705e+00  6.60274663e-01 
 2.00000000e-11  2.00000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.57716051e+00  6.49625006e-01 
 2.01000000e-11  2.01000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.58400013e+00  6.48420620e-01 
 2.03000000e-11  2.03000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.59758347e+00  6.45950667e-01 
 2.07000000e-11  2.07000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.62420233e+00  6.40647809e-01 
 2.15000000e-11  2.15000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.67531061e+00  6.28710735e-01 
 2.25000000e-11  2.25000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.73533927e+00  6.11609511e-01 
 2.35000000e-11  2.35000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.79127978e+00  5.92515050e-01 
 2.45000000e-11  2.45000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.84335230e+00  5.71869097e-01 
 2.55000000e-11  2.55000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.89177673e+00  5.50072855e-01 
 2.65000000e-11  2.65000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.93677040e+00  5.27486035e-01 
 2.75000000e-11  2.75000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  1.97854583e+00  5.04427046e-01 
 2.85000000e-11  2.85000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.01730912e+00  4.81174076e-01 
 2.95000000e-11  2.95000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.05325860e+00  4.57966848e-01 
 3.05000000e-11  3.05000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.08661892e+00  4.35008945e-01 
 3.15000000e-11  3.15000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.11762161e+00  4.12454219e-01 
 3.25000000e-11  3.25000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.14643623e+00  3.90409088e-01 
 3.35000000e-11  3.35000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.17319159e+00  3.68956838e-01 
 3.45000000e-11  3.45000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.19801346e+00  3.48165445e-01 
 3.55000000e-11  3.55000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.22102381e+00  3.28088689e-01 
 3.65000000e-11  3.65000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.24234017e+00  3.08767364e-01 
 3.75000000e-11  3.75000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.26207517e+00  2.90230546e-01 
 3.85000000e-11  3.85000000e-11  2.50000000e+00  0.00000000e+00  0.00000000e+00  2.28033622e+00  2.72496869e-01 
