 time            time            v(q)            v(qb)          
 5.00000000e-15  5.00000000e-15  1.47483123e+00  1.62122451e+00 
 5.24721776e-15  5.24721776e-15  1.47482577e+00  1.62122083e+00 
 5.74165328e-15  5.74165328e-15  1.47481485e+00  1.62121347e+00 
 6.73052433e-15  6.73052433e-15  1.47479301e+00  1.62119876e+00 
 8.70826642e-15  8.70826642e-15  1.47474933e+00  1.62116932e+00 
 1.26637506e-14  1.26637506e-14  1.47466198e+00  1.62111047e+00 
 2.05747190e-14  2.05747190e-14  1.47448734e+00  1.62099283e+00 
 3.63966557e-14  3.63966557e-14  1.47413822e+00  1.62075779e+00 
 6.80405291e-14  6.80405291e-14  1.47344073e+00  1.62028872e+00 
 1.31328276e-13  1.31328276e-13  1.47204866e+00  1.61935456e+00 
 2.57903770e-13  2.57903770e-13  1.46927613e+00  1.61750209e+00 
 5.00000000e-13  5.00000000e-13  1.46401573e+00  1.61401740e+00 
 5.25315099e-13  5.25315099e-13  1.46346917e+00  1.61365785e+00 
 5.75945296e-13  5.75945296e-13  1.46237726e+00  1.61294041e+00 
 6.77205691e-13  6.77205691e-13  1.46020058e+00  1.61151547e+00 
 8.79726481e-13  8.79726481e-13  1.45587554e+00  1.60870510e+00 
 1.28476806e-12  1.28476806e-12  1.44733624e+00  1.60324052e+00 
 1.78476806e-12  1.78476806e-12  1.43699262e+00  1.59677737e+00 
 2.28476806e-12  2.28476806e-12  1.42685883e+00  1.59061996e+00 
 2.78476806e-12  2.78476806e-12  1.41692564e+00  1.58476148e+00 
 3.28476806e-12  3.28476806e-12  1.40718409e+00  1.57919539e+00 
 3.78476806e-12  3.78476806e-12  1.39762542e+00  1.57391545e+00 
 4.28476806e-12  4.28476806e-12  1.38824107e+00  1.56891569e+00 
 4.78476806e-12  4.78476806e-12  1.37902271e+00  1.56419037e+00 
 5.28476806e-12  5.28476806e-12  1.36996217e+00  1.55973406e+00 
 5.78476806e-12  5.78476806e-12  1.36105148e+00  1.55554153e+00 
 6.28476806e-12  6.28476806e-12  1.35228286e+00  1.55160783e+00 
 6.78476806e-12  6.78476806e-12  1.34364865e+00  1.54792822e+00 
 7.28476806e-12  7.28476806e-12  1.33514140e+00  1.54449820e+00 
 7.78476806e-12  7.78476806e-12  1.32675379e+00  1.54131351e+00 
 8.28476806e-12  8.28476806e-12  1.31847864e+00  1.53837008e+00 
 8.78476806e-12  8.78476806e-12  1.31030892e+00  1.53566407e+00 
 9.28476806e-12  9.28476806e-12  1.30223772e+00  1.53319186e+00 
 9.78476806e-12  9.78476806e-12  1.29425827e+00  1.53095001e+00 
 1.02847681e-11  1.02847681e-11  1.28636389e+00  1.52893530e+00 
 1.07847681e-11  1.07847681e-11  1.27854805e+00  1.52714470e+00 
 1.12847681e-11  1.12847681e-11  1.27080429e+00  1.52557536e+00 
 1.17847681e-11  1.17847681e-11  1.26312628e+00  1.52422465e+00 
 1.22847681e-11  1.22847681e-11  1.25550776e+00  1.52309009e+00 
 1.27847681e-11  1.27847681e-11  1.24794259e+00  1.52216940e+00 
 1.32847681e-11  1.32847681e-11  1.24042467e+00  1.52146048e+00 
 1.37847681e-11  1.37847681e-11  1.23294803e+00  1.52096138e+00 
 1.42847681e-11  1.42847681e-11  1.22550672e+00  1.52067036e+00 
 1.47847681e-11  1.47847681e-11  1.21809489e+00  1.52058582e+00 
 1.52847681e-11  1.52847681e-11  1.21070676e+00  1.52070633e+00 
 1.57847681e-11  1.57847681e-11  1.20333659e+00  1.52103065e+00 
 1.62847681e-11  1.62847681e-11  1.19597869e+00  1.52155766e+00 
 1.67847681e-11  1.67847681e-11  1.18862744e+00  1.52228644e+00 
 1.72847681e-11  1.72847681e-11  1.18127724e+00  1.52321620e+00 
 1.77847681e-11  1.77847681e-11  1.17392256e+00  1.52434632e+00 
 1.82847681e-11  1.82847681e-11  1.16655787e+00  1.52567633e+00 
 1.87847681e-11  1.87847681e-11  1.15917770e+00  1.52720591e+00 
 1.92847681e-11  1.92847681e-11  1.15177659e+00  1.52893490e+00 
 1.97847681e-11  1.97847681e-11  1.14434911e+00  1.53086328e+00 
 2.02847681e-11  2.02847681e-11  1.13688985e+00  1.53299119e+00 
 2.07847681e-11  2.07847681e-11  1.12939342e+00  1.53531889e+00 
 2.12847681e-11  2.12847681e-11  1.12185441e+00  1.53784683e+00 
 2.17847681e-11  2.17847681e-11  1.11426746e+00  1.54057556e+00 
 2.22847681e-11  2.22847681e-11  1.10662719e+00  1.54350581e+00 
 2.27847681e-11  2.27847681e-11  1.09893959e+00  1.54662704e+00 
 2.32847681e-11  2.32847681e-11  1.09121771e+00  1.54992175e+00 
 2.37847681e-11  2.37847681e-11  1.08346484e+00  1.55338220e+00 
 2.42847681e-11  2.42847681e-11  1.07567869e+00  1.55700645e+00 
 2.47847681e-11  2.47847681e-11  1.06785706e+00  1.56079256e+00 
 2.52847681e-11  2.52847681e-11  1.05999789e+00  1.56473859e+00 
 2.57847681e-11  2.57847681e-11  1.05209930e+00  1.56884256e+00 
 2.62847681e-11  2.62847681e-11  1.04415954e+00  1.57310249e+00 
 2.67847681e-11  2.67847681e-11  1.03617702e+00  1.57751635e+00 
 2.72847681e-11  2.72847681e-11  1.02815029e+00  1.58208211e+00 
 2.77847681e-11  2.77847681e-11  1.02007806e+00  1.58679767e+00 
 2.82847681e-11  2.82847681e-11  1.01195918e+00  1.59166090e+00 
 2.87847681e-11  2.87847681e-11  1.00379267e+00  1.59666962e+00 
 2.92847681e-11  2.92847681e-11  9.95577673e-01  1.60182163e+00 
 2.97847681e-11  2.97847681e-11  9.87313513e-01  1.60711463e+00 
 3.02847681e-11  3.02847681e-11  9.78999646e-01  1.61254630e+00 
 3.07847681e-11  3.07847681e-11  9.70635684e-01  1.61811426e+00 
 3.12847681e-11  3.12847681e-11  9.62221389e-01  1.62381604e+00 
 3.17847681e-11  3.17847681e-11  9.53756674e-01  1.62964914e+00 
 3.22847681e-11  3.22847681e-11  9.45241603e-01  1.63561098e+00 
 3.27847681e-11  3.27847681e-11  9.36676388e-01  1.64169890e+00 
 3.32847681e-11  3.32847681e-11  9.28061391e-01  1.64791019e+00 
 3.37847681e-11  3.37847681e-11  9.19397120e-01  1.65424205e+00 
 3.42847681e-11  3.42847681e-11  9.10684231e-01  1.66069161e+00 
 3.47847681e-11  3.47847681e-11  9.01923524e-01  1.66725595e+00 
 3.52847681e-11  3.52847681e-11  8.93115945e-01  1.67393203e+00 
 3.57847681e-11  3.57847681e-11  8.84262578e-01  1.68071678e+00 
 3.62847681e-11  3.62847681e-11  8.75364649e-01  1.68760704e+00 
 3.67847681e-11  3.67847681e-11  8.66423521e-01  1.69459955e+00 
 3.72847681e-11  3.72847681e-11  8.57440690e-01  1.70169102e+00 
 3.77847681e-11  3.77847681e-11  8.48417785e-01  1.70887805e+00 
 3.82847681e-11  3.82847681e-11  8.39356562e-01  1.71615719e+00 
 3.87847681e-11  3.87847681e-11  8.30258903e-01  1.72352492e+00 
 3.92847681e-11  3.92847681e-11  8.21126812e-01  1.73097764e+00 
 3.97847681e-11  3.97847681e-11  8.11962406e-01  1.73851170e+00 
 4.02847681e-11  4.02847681e-11  8.02767920e-01  1.74612336e+00 
 4.07847681e-11  4.07847681e-11  7.93545694e-01  1.75380886e+00 
 4.12847681e-11  4.12847681e-11  7.84298172e-01  1.76156435e+00 
 4.17847681e-11  4.17847681e-11  7.75027897e-01  1.76938595e+00 
 4.22847681e-11  4.22847681e-11  7.65737505e-01  1.77726972e+00 
 4.27847681e-11  4.27847681e-11  7.56429720e-01  1.78521168e+00 
 4.32847681e-11  4.32847681e-11  7.47107346e-01  1.79320780e+00 
 4.37847681e-11  4.37847681e-11  7.37773265e-01  1.80125402e+00 
