 time            time            v(n1)           v(n2)           v(n3)           v(n4)           v(n5)          
 1.00000000e-14  1.00000000e-14  4.17943841e-01  4.13017928e-01  4.06418270e-01  2.67333714e-01  2.98995758e+00 
 1.02926510e-14  1.02926510e-14  4.17935007e-01  4.13032224e-01  4.06433634e-01  2.67347011e-01  2.98994992e+00 
 1.08779531e-14  1.08779531e-14  4.17917339e-01  4.13060814e-01  4.06464364e-01  2.67373606e-01  2.98993461e+00 
 1.20485573e-14  1.20485573e-14  4.17882006e-01  4.13117998e-01  4.06525819e-01  2.67426794e-01  2.98990399e+00 
 1.43897657e-14  1.43897657e-14  4.17811351e-01  4.13232371e-01  4.06648718e-01  2.67533156e-01  2.98984276e+00 
 1.90721824e-14  1.90721824e-14  4.17670084e-01  4.13461143e-01  4.06894466e-01  2.67745833e-01  2.98972034e+00 
 2.84370159e-14  2.84370159e-14  4.17387723e-01  4.13918790e-01  4.07385758e-01  2.68170997e-01  2.98947565e+00 
 4.71666828e-14  4.71666828e-14  4.16823692e-01  4.14834495e-01  4.08367531e-01  2.69020562e-01  2.98898692e+00 
 8.46260167e-14  8.46260167e-14  4.15698387e-01  4.16667539e-01  4.10327835e-01  2.70716649e-01  2.98801199e+00 
 1.59544685e-13  1.59544685e-13  4.13458752e-01  4.20340139e-01  4.14235473e-01  2.74096691e-01  2.98607219e+00 
 3.09382020e-13  3.09382020e-13  4.09022981e-01  4.27711148e-01  4.21998880e-01  2.80808602e-01  2.98223231e+00 
 6.09056691e-13  6.09056691e-13  4.00322283e-01  4.42554508e-01  4.37318295e-01  2.94042506e-01  2.97470755e+00 
 1.00000000e-12  1.00000000e-12  3.89304425e-01  4.62118890e-01  4.56887594e-01  3.10932594e-01  2.96518817e+00 
 1.05993493e-12  1.05993493e-12  3.87651387e-01  4.65140851e-01  4.59840679e-01  3.13478645e-01  2.96375910e+00 
 1.17980480e-12  1.17980480e-12  3.84362218e-01  4.71195161e-01  4.65724839e-01  3.18551366e-01  2.96091584e+00 
 1.41954454e-12  1.41954454e-12  3.77884541e-01  4.83365391e-01  4.77360837e-01  3.28582188e-01  2.95531740e+00 
 1.89902401e-12  1.89902401e-12  3.65320208e-01  5.07945133e-01  5.00100654e-01  3.48192731e-01  2.94446002e+00 
