 time            time            v(n1)           v(n2)           v(n3)           i(vdd)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00 -3.70656001e-03 
 1.00000000e-14  1.00000000e-14  8.81701524e-04  1.80019079e+00  3.34853680e-05 -2.52550401e-03 
 2.00000000e-14  2.00000000e-14  1.76320278e-03  1.80038132e+00  6.68667861e-05 -2.52450801e-03 
 4.00000000e-14  4.00000000e-14  3.52602632e-03  1.80076190e+00  1.33442142e-04 -2.52236007e-03 
 8.00000000e-14  8.00000000e-14  7.04984610e-03  1.80152027e+00  2.65451147e-04 -2.51866581e-03 
 1.60000000e-13  1.60000000e-13  1.40910140e-02  1.80302597e+00  5.24979552e-04 -2.51047970e-03 
 3.20000000e-13  3.20000000e-13  2.81724078e-02  1.80599830e+00  1.02724116e-03 -2.49073744e-03 
 6.40000000e-13  6.40000000e-13  5.63362437e-02  1.81179470e+00  1.96787668e-03 -2.45618292e-03 
 1.28000000e-12  1.28000000e-12  1.12605955e-01  1.82283829e+00  3.61522853e-03 -2.39259222e-03 
 2.28000000e-12  2.28000000e-12  1.99791671e-01  1.83871551e+00  5.63678504e-03 -2.32346710e-03 
 3.28000000e-12  3.28000000e-12  2.85182977e-01  1.85301433e+00  7.08041875e-03 -2.28210238e-03 
 4.28000000e-12  4.28000000e-12  3.68523216e-01  1.86599042e+00  8.07267740e-03 -2.24908539e-03 
 5.28000000e-12  5.28000000e-12  4.50071883e-01  1.87795294e+00  8.73181046e-03 -2.22488146e-03 
 6.28000000e-12  6.28000000e-12  5.29718025e-01  1.88891600e+00  9.12778051e-03 -2.20155313e-03 
 7.28000000e-12  7.28000000e-12  6.06806728e-01  1.89843864e+00  9.25156055e-03 -2.18501507e-03 
 8.28000000e-12  8.28000000e-12  6.80806770e-01  1.90599690e+00  9.06184458e-03 -2.17301948e-03 
 9.28000000e-12  9.28000000e-12  7.51516888e-01  1.91121401e+00  8.54135136e-03 -2.16822136e-03 
 1.02800000e-11  1.02800000e-11  8.18786232e-01  1.91378864e+00  7.69152658e-03 -2.16751536e-03 
 1.12800000e-11  1.12800000e-11  8.82515481e-01  1.91348279e+00  6.52578464e-03 -2.17230069e-03 
 1.22800000e-11  1.22800000e-11  9.42650509e-01  1.91010885e+00  5.06427428e-03 -2.17863191e-03 
 1.32800000e-11  1.32800000e-11  9.99176028e-01  1.90351735e+00  3.32979298e-03 -2.18735543e-03 
 1.42800000e-11  1.42800000e-11  1.05210953e+00  1.89358491e+00  1.34457872e-03 -2.19416095e-03 
 1.52800000e-11  1.52800000e-11  1.10149570e+00  1.88020191e+00 -8.72280425e-04 -2.19962573e-03 
 1.62800000e-11  1.62800000e-11  1.14740160e+00  1.86325805e+00 -3.30701517e-03 -2.19915195e-03 
 1.72800000e-11  1.72800000e-11  1.18991382e+00  1.84262135e+00 -5.95406456e-03 -2.19283086e-03 
 1.82800000e-11  1.82800000e-11  1.22914359e+00  1.81809239e+00 -8.82246469e-03 -2.17484745e-03 
 1.92800000e-11  1.92800000e-11  1.26529508e+00  1.78922253e+00 -1.19614205e-02 -2.14113746e-03 
 2.02800000e-11  2.02800000e-11  1.30118814e+00  1.75202327e+00 -1.59352132e-02 -2.07161496e-03 
 2.12800000e-11  2.12800000e-11  1.33772020e+00  1.70474635e+00 -2.09273063e-02 -2.01102078e-03 
 2.22800000e-11  2.22800000e-11  1.37144374e+00  1.65143869e+00 -2.62749670e-02 -1.95428431e-03 
 2.32800000e-11  2.32800000e-11  1.40238838e+00  1.59344405e+00 -3.17949040e-02 -1.93753299e-03 
 2.42800000e-11  2.42800000e-11  1.43084688e+00  1.53217018e+00 -3.73234761e-02 -1.94170729e-03 
 2.52800000e-11  2.52800000e-11  1.45697741e+00  1.46801477e+00 -4.28743511e-02 -1.93231516e-03 
 2.62800000e-11  2.62800000e-11  1.48093462e+00  1.40132705e+00 -4.84710844e-02 -1.94164078e-03 
 2.72800000e-11  2.72800000e-11  1.50286183e+00  1.33233880e+00 -5.41501314e-02 -1.93208719e-03 
 2.82800000e-11  2.82800000e-11  1.52287266e+00  1.26097051e+00 -5.98436171e-02 -1.93416878e-03 
 2.92800000e-11  2.92800000e-11  1.54109099e+00  1.18723843e+00 -6.52575143e-02 -1.93609142e-03 
 3.02800000e-11  3.02800000e-11  1.55766722e+00  1.11146162e+00 -6.99830500e-02 -1.97258093e-03 
 3.12800000e-11  3.12800000e-11  1.57223071e+00  1.03482457e+00 -7.34813652e-02 -2.00249089e-03 
 3.22800000e-11  3.22800000e-11  1.58467202e+00  9.58871040e-01 -7.51792490e-02 -2.05226513e-03 
 3.32800000e-11  3.32800000e-11  1.59556035e+00  8.84587801e-01 -7.46209109e-02 -2.08857233e-03 
 3.42800000e-11  3.42800000e-11  1.60533275e+00  8.12807568e-01 -7.14065141e-02 -2.14318751e-03 
 3.52800000e-11  3.52800000e-11  1.61431741e+00  7.44209069e-01 -6.51891670e-02 -2.18144051e-03 
 3.62800000e-11  3.62800000e-11  1.62275842e+00  6.79316354e-01 -5.56689845e-02 -2.23428686e-03 
 3.72800000e-11  3.72800000e-11  1.63083323e+00  6.18506766e-01 -4.25815613e-02 -2.26656076e-03 
 3.82800000e-11  3.82800000e-11  1.63866629e+00  5.62024156e-01 -2.56765697e-02 -2.30883703e-03 
 3.92800000e-11  3.92800000e-11  1.64633957e+00  5.09988430e-01 -4.64577027e-03 -2.32475859e-03 
 4.02800000e-11  4.02800000e-11  1.65373174e+00  4.61236176e-01  2.26392078e-02 -2.33615924e-03 
 4.12800000e-11  4.12800000e-11  1.66075920e+00  4.14992359e-01  5.70702572e-02 -2.34220888e-03 
 4.22800000e-11  4.22800000e-11  1.66763617e+00  3.72539121e-01  9.66570465e-02 -2.35678859e-03 
 4.32800000e-11  4.32800000e-11  1.67445132e+00  3.34316307e-01  1.40671093e-01 -2.34933232e-03 
 4.42800000e-11  4.42800000e-11  1.68120896e+00  3.00058283e-01  1.88619603e-01 -2.35748026e-03 
 4.52800000e-11  4.52800000e-11  1.68784749e+00  2.69478157e-01  2.39820497e-01 -2.35328864e-03 
 4.62800000e-11  4.62800000e-11  1.69431326e+00  2.42297956e-01  2.93835766e-01 -2.35959940e-03 
 4.72800000e-11  4.72800000e-11  1.70061116e+00  2.18212564e-01  3.50304863e-01 -2.34935735e-03 
 4.82800000e-11  4.82800000e-11  1.70671783e+00  1.96933242e-01  4.08891305e-01 -2.35223722e-03 
 4.92800000e-11  4.92800000e-11  1.71261352e+00  1.78184692e-01  4.69327522e-01 -2.33865394e-03 
 5.02800000e-11  5.02800000e-11  1.71827850e+00  1.61711163e-01  5.31443055e-01 -2.34270094e-03 
 5.12800000e-11  5.12800000e-11  1.72369080e+00  1.47269655e-01  5.95005077e-01 -2.34137469e-03 
 5.22800000e-11  5.22800000e-11  1.72893505e+00  1.35354448e-01  6.58757244e-01 -2.35444447e-03 
 5.32800000e-11  5.32800000e-11  1.73403257e+00  1.26074178e-01  7.21432580e-01 -2.34988503e-03 
 5.42800000e-11  5.42800000e-11  1.73887965e+00  1.18661945e-01  7.82605732e-01 -2.35847353e-03 
 5.52800000e-11  5.52800000e-11  1.74341909e+00  1.12577261e-01  8.41905827e-01 -2.35254829e-03 
 5.62800000e-11  5.62800000e-11  1.74762293e+00  1.07426625e-01  8.99026343e-01 -2.36102635e-03 
 5.72800000e-11  5.72800000e-11  1.75148241e+00  1.02920172e-01  9.53724255e-01 -2.35489375e-03 
 5.82800000e-11  5.82800000e-11  1.75500143e+00  9.88442627e-02  1.00581518e+00 -2.36206734e-03 
 5.92800000e-11  5.92800000e-11  1.75819193e+00  9.50426671e-02  1.05516715e+00 -2.35276721e-03 
 6.02800000e-11  6.02800000e-11  1.76107065e+00  9.14029828e-02  1.10169418e+00 -2.35427756e-03 
 6.12800000e-11  6.12800000e-11  1.76365671e+00  8.78465517e-02  1.14535061e+00 -2.33619557e-03 
 6.22800000e-11  6.22800000e-11  1.76596954e+00  8.43211973e-02  1.18612868e+00 -2.32495964e-03 
 6.32800000e-11  6.32800000e-11  1.76802671e+00  8.07982019e-02  1.22407115e+00 -2.28840856e-03 
 6.42800000e-11  6.42800000e-11  1.76983983e+00  7.72904218e-02  1.25939564e+00 -2.24895738e-03 
 6.52800000e-11  6.52800000e-11  1.77139174e+00  7.42992205e-02  1.29495492e+00 -2.17115937e-03 
 6.62800000e-11  6.62800000e-11  1.77268674e+00  7.18463947e-02  1.33119964e+00 -2.10596994e-03 
 6.72800000e-11  6.72800000e-11  1.77378676e+00  6.91958344e-02  1.36454063e+00 -2.04814386e-03 
 6.82800000e-11  6.82800000e-11  1.77475055e+00  6.64202962e-02  1.39529577e+00 -2.03505231e-03 
 6.92800000e-11  6.92800000e-11  1.77562165e+00  6.35748239e-02  1.42371060e+00 -2.02498449e-03 
 7.02800000e-11  7.02800000e-11  1.77640734e+00  6.06820574e-02  1.44990851e+00 -2.01738084e-03 
 7.12800000e-11  7.12800000e-11  1.77711398e+00  5.77649563e-02  1.47401865e+00 -2.01290855e-03 
 7.22800000e-11  7.22800000e-11  1.77774454e+00  5.48426198e-02  1.49615798e+00 -2.00333119e-03 
 7.32800000e-11  7.32800000e-11  1.77832820e+00  5.19332536e-02  1.51642446e+00 -1.99437735e-03 
 7.42800000e-11  7.42800000e-11  1.77893640e+00  4.90634181e-02  1.53493437e+00 -2.00119636e-03 
 7.52800000e-11  7.52800000e-11  1.77965005e+00  4.62626405e-02  1.55182543e+00 -2.02647577e-03 
 7.62800000e-11  7.62800000e-11  1.78055351e+00  4.34548415e-02  1.56671438e+00 -2.06088363e-03 
 7.72800000e-11  7.72800000e-11  1.78173785e+00  4.06274476e-02  1.57948783e+00 -2.09912889e-03 
 7.82800000e-11  7.82800000e-11  1.78328007e+00  3.79027262e-02  1.59071205e+00 -2.13983987e-03 
 7.92800000e-11  7.92800000e-11  1.78523275e+00  3.53579216e-02  1.60081500e+00 -2.18281695e-03 
 8.02800000e-11  8.02800000e-11  1.78762902e+00  3.30374640e-02  1.61011900e+00 -2.22539156e-03 
 8.12800000e-11  8.12800000e-11  1.79048773e+00  3.09623169e-02  1.61886451e+00 -2.26655068e-03 
 8.22800000e-11  8.22800000e-11  1.79381919e+00  2.91369263e-02  1.62722695e+00 -2.30310800e-03 
 8.32800000e-11  8.32800000e-11  1.79763280e+00  2.75548765e-02  1.63532982e+00 -2.33358733e-03 
 8.42800000e-11  8.42800000e-11  1.80196119e+00  2.62053664e-02  1.64325364e+00 -2.35297740e-03 
 8.52800000e-11  8.52800000e-11  1.80728721e+00  2.50899561e-02  1.65081373e+00 -2.35684126e-03 
 8.62800000e-11  8.62800000e-11  1.81360612e+00  2.41746024e-02  1.65800242e+00 -2.36739766e-03 
 8.72800000e-11  8.72800000e-11  1.82031998e+00  2.34057266e-02  1.66511385e+00 -2.37195984e-03 
 8.82800000e-11  8.82800000e-11  1.82739528e+00  2.27583818e-02  1.67214204e+00 -2.36984762e-03 
 8.92800000e-11  8.92800000e-11  1.83472770e+00  2.21973467e-02  1.67906440e+00 -2.37207813e-03 
 9.02800000e-11  9.02800000e-11  1.84220129e+00  2.16890108e-02  1.68585127e+00 -2.37253704e-03 
 9.12800000e-11  9.12800000e-11  1.84978437e+00  2.12175647e-02  1.69247928e+00 -2.36975501e-03 
 9.22800000e-11  9.22800000e-11  1.85745617e+00  2.07708059e-02  1.69892500e+00 -2.36604195e-03 
 9.32800000e-11  9.32800000e-11  1.86520532e+00  2.03397963e-02  1.70516658e+00 -2.36010456e-03 
 9.42800000e-11  9.42800000e-11  1.87302109e+00  1.99175657e-02  1.71118566e+00 -2.35316135e-03 
 9.52800000e-11  9.52800000e-11  1.88073282e+00  1.94751329e-02  1.71696263e+00 -2.34988067e-03 
 9.62800000e-11  9.62800000e-11  1.88795249e+00  1.89587037e-02  1.72248653e+00 -2.35655250e-03 
 9.72800000e-11  9.72800000e-11  1.89408353e+00  1.83116982e-02  1.72783921e+00 -2.36069120e-03 
 9.82800000e-11  9.82800000e-11  1.89858633e+00  1.74794763e-02  1.73302761e+00 -2.36305617e-03 
 9.92800000e-11  9.92800000e-11  1.90112393e+00  1.64227350e-02  1.73795066e+00 -2.36319408e-03 
 1.00280000e-10  1.00280000e-10  1.90139917e+00  1.51231681e-02  1.74255540e+00 -2.36439949e-03 
 1.01280000e-10  1.01280000e-10  1.89915728e+00  1.35764498e-02  1.74681669e+00 -2.36445410e-03 
 1.02280000e-10  1.02280000e-10  1.89418049e+00  1.17871445e-02  1.75072770e+00 -2.36534707e-03 
 1.03280000e-10  1.03280000e-10  1.88628090e+00  9.76466415e-03  1.75429366e+00 -2.36389055e-03 
