 frequency       frequency       frequency       cgate           cgate          
 1.00000000e+03  1.00000000e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+03  1.05925373e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.18850223e+03  1.18850223e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+03  1.33352143e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+03  1.41253754e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+03  1.49623566e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+03  1.58489319e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+03  1.67880402e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.77827941e+03  1.77827941e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.88364909e+03  1.88364909e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.99526231e+03  1.99526231e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.11348904e+03  2.11348904e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.23872114e+03  2.23872114e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.37137371e+03  2.37137371e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.51188643e+03  2.51188643e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.66072506e+03  2.66072506e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.81838293e+03  2.81838293e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 2.98538262e+03  2.98538262e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.16227766e+03  3.16227766e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.34965439e+03  3.34965439e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.54813389e+03  3.54813389e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.75837404e+03  3.75837404e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 3.98107171e+03  3.98107171e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.21696503e+03  4.21696503e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.46683592e+03  4.46683592e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 4.73151259e+03  4.73151259e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.01187234e+03  5.01187234e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.30884444e+03  5.30884444e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.62341325e+03  5.62341325e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 5.95662144e+03  5.95662144e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.30957344e+03  6.30957344e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 6.68343918e+03  6.68343918e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.07945784e+03  7.07945784e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.49894209e+03  7.49894209e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 7.94328235e+03  7.94328235e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.41395142e+03  8.41395142e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 8.91250938e+03  8.91250938e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 9.44060876e+03  9.44060876e+03  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.00000000e+04  1.00000000e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.05925373e+04  1.05925373e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.12201845e+04  1.12201845e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.18850223e+04  1.18850223e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.25892541e+04  1.25892541e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.33352143e+04  1.33352143e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.41253754e+04  1.41253754e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.49623566e+04  1.49623566e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.58489319e+04  1.58489319e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
 1.67880402e+04  1.67880402e+04  0.00000000e+00  9.01655884e-14  0.00000000e+00 
