 frequency       gain_db         phase_deg      
 1.00000000e+01  1.26266382e+00  1.80000000e+02 
 1.02920053e+01  1.26266382e+00  1.80000000e+02 
 1.05925373e+01  1.26266382e+00  1.80000000e+02 
 1.09018449e+01  1.26266382e+00  1.80000000e+02 
 1.12201845e+01  1.26266382e+00  1.80000000e+02 
 1.15478198e+01  1.26266382e+00  1.80000000e+02 
 1.18850223e+01  1.26266382e+00  1.80000000e+02 
 1.22320712e+01  1.26266382e+00  1.80000000e+02 
 1.25892541e+01  1.26266382e+00  1.80000000e+02 
 1.29568670e+01  1.26266382e+00  1.80000000e+02 
 1.33352143e+01  1.26266382e+00  1.80000000e+02 
 1.37246096e+01  1.26266382e+00  1.80000000e+02 
 1.41253754e+01  1.26266382e+00  1.80000000e+02 
 1.45378439e+01  1.26266382e+00  1.80000000e+02 
 1.49623566e+01  1.26266382e+00  1.80000000e+02 
 1.53992653e+01  1.26266382e+00  1.80000000e+02 
 1.58489319e+01  1.26266382e+00  1.80000000e+02 
 1.63117291e+01  1.26266382e+00  1.80000000e+02 
 1.67880402e+01  1.26266382e+00  1.80000000e+02 
 1.72782598e+01  1.26266382e+00  1.80000000e+02 
 1.77827941e+01  1.26266382e+00  1.80000000e+02 
 1.83020611e+01  1.26266382e+00  1.80000000e+02 
 1.88364909e+01  1.26266382e+00  1.80000000e+02 
 1.93865264e+01  1.26266382e+00  1.80000000e+02 
 1.99526231e+01  1.26266382e+00  1.80000000e+02 
 2.05352503e+01  1.26266382e+00  1.80000000e+02 
 2.11348904e+01  1.26266382e+00  1.80000000e+02 
 2.17520403e+01  1.26266382e+00  1.80000000e+02 
 2.23872114e+01  1.26266382e+00  1.80000000e+02 
 2.30409298e+01  1.26266382e+00  1.80000000e+02 
 2.37137371e+01  1.26266382e+00  1.80000000e+02 
 2.44061907e+01  1.26266382e+00  1.80000000e+02 
 2.51188643e+01  1.26266382e+00  1.80000000e+02 
 2.58523484e+01  1.26266382e+00  1.80000000e+02 
 2.66072506e+01  1.26266382e+00  1.80000000e+02 
 2.73841963e+01  1.26266382e+00  1.80000000e+02 
 2.81838293e+01  1.26266382e+00  1.80000000e+02 
 2.90068120e+01  1.26266382e+00  1.80000000e+02 
 2.98538262e+01  1.26266382e+00  1.80000000e+02 
 3.07255737e+01  1.26266382e+00  1.80000000e+02 
 3.16227766e+01  1.26266382e+00  1.80000000e+02 
 3.25461783e+01  1.26266382e+00  1.80000000e+02 
 3.34965439e+01  1.26266382e+00  1.80000000e+02 
 3.44746607e+01  1.26266382e+00  1.80000000e+02 
 3.54813389e+01  1.26266382e+00  1.80000000e+02 
 3.65174127e+01  1.26266382e+00  1.80000000e+02 
 3.75837404e+01  1.26266382e+00  1.80000000e+02 
 3.86812055e+01  1.26266382e+00  1.80000000e+02 
 3.98107171e+01  1.26266382e+00  1.80000000e+02 
 4.09732110e+01  1.26266382e+00  1.80000000e+02 
 4.21696503e+01  1.26266382e+00  1.80000000e+02 
 4.34010264e+01  1.26266382e+00  1.80000000e+02 
 4.46683592e+01  1.26266382e+00  1.80000000e+02 
 4.59726989e+01  1.26266382e+00  1.80000000e+02 
 4.73151259e+01  1.26266382e+00  1.80000000e+02 
 4.86967525e+01  1.26266382e+00  1.80000000e+02 
 5.01187234e+01  1.26266382e+00  1.80000000e+02 
 5.15822165e+01  1.26266382e+00  1.80000000e+02 
 5.30884444e+01  1.26266382e+00  1.80000000e+02 
 5.46386550e+01  1.26266382e+00  1.80000000e+02 
 5.62341325e+01  1.26266382e+00  1.80000000e+02 
 5.78761988e+01  1.26266382e+00  1.80000000e+02 
 5.95662144e+01  1.26266382e+00  1.80000000e+02 
 6.13055792e+01  1.26266382e+00  1.80000000e+02 
 6.30957344e+01  1.26266382e+00  1.80000000e+02 
 6.49381632e+01  1.26266382e+00  1.80000000e+02 
 6.68343918e+01  1.26266382e+00  1.80000000e+02 
 6.87859912e+01  1.26266382e+00  1.80000000e+02 
 7.07945784e+01  1.26266382e+00  1.80000000e+02 
 7.28618175e+01  1.26266382e+00  1.80000000e+02 
 7.49894209e+01  1.26266382e+00  1.80000000e+02 
 7.71791516e+01  1.26266382e+00  1.80000000e+02 
 7.94328235e+01  1.26266382e+00  1.80000000e+02 
 8.17523038e+01  1.26266382e+00  1.80000000e+02 
 8.41395142e+01  1.26266382e+00  1.80000000e+02 
 8.65964323e+01  1.26266382e+00  1.80000000e+02 
 8.91250938e+01  1.26266382e+00  1.80000000e+02 
 9.17275935e+01  1.26266382e+00  1.80000000e+02 
 9.44060876e+01  1.26266382e+00  1.80000000e+02 
 9.71627952e+01  1.26266382e+00  1.80000000e+02 
 1.00000000e+02  1.26266382e+00  1.80000000e+02 
 1.02920053e+02  1.26266382e+00  1.80000000e+02 
 1.05925373e+02  1.26266382e+00  1.80000000e+02 
 1.09018449e+02  1.26266382e+00  1.80000000e+02 
 1.12201845e+02  1.26266382e+00  1.80000000e+02 
 1.15478198e+02  1.26266382e+00  1.80000000e+02 
 1.18850223e+02  1.26266382e+00  1.80000000e+02 
 1.22320712e+02  1.26266382e+00  1.80000000e+02 
 1.25892541e+02  1.26266382e+00  1.79999999e+02 
 1.29568670e+02  1.26266382e+00  1.79999999e+02 
 1.33352143e+02  1.26266382e+00  1.79999999e+02 
 1.37246096e+02  1.26266382e+00  1.79999999e+02 
 1.41253754e+02  1.26266382e+00  1.79999999e+02 
 1.45378439e+02  1.26266382e+00  1.79999999e+02 
 1.49623566e+02  1.26266382e+00  1.79999999e+02 
 1.53992653e+02  1.26266382e+00  1.79999999e+02 
 1.58489319e+02  1.26266382e+00  1.79999999e+02 
 1.63117291e+02  1.26266382e+00  1.79999999e+02 
 1.67880402e+02  1.26266382e+00  1.79999999e+02 
 1.72782598e+02  1.26266382e+00  1.79999999e+02 
 1.77827941e+02  1.26266382e+00  1.79999999e+02 
 1.83020611e+02  1.26266382e+00  1.79999999e+02 
 1.88364909e+02  1.26266382e+00  1.79999999e+02 
 1.93865264e+02  1.26266382e+00  1.79999999e+02 
 1.99526231e+02  1.26266382e+00  1.79999999e+02 
 2.05352503e+02  1.26266382e+00  1.79999999e+02 
 2.11348904e+02  1.26266382e+00  1.79999999e+02 
 2.17520403e+02  1.26266382e+00  1.79999999e+02 
 2.23872114e+02  1.26266382e+00  1.79999999e+02 
 2.30409298e+02  1.26266382e+00  1.79999999e+02 
 2.37137371e+02  1.26266382e+00  1.79999999e+02 
 2.44061907e+02  1.26266382e+00  1.79999999e+02 
 2.51188643e+02  1.26266382e+00  1.79999999e+02 
 2.58523484e+02  1.26266382e+00  1.79999999e+02 
 2.66072506e+02  1.26266382e+00  1.79999999e+02 
 2.73841963e+02  1.26266382e+00  1.79999999e+02 
 2.81838293e+02  1.26266382e+00  1.79999999e+02 
 2.90068120e+02  1.26266382e+00  1.79999999e+02 
 2.98538262e+02  1.26266382e+00  1.79999999e+02 
 3.07255737e+02  1.26266382e+00  1.79999999e+02 
 3.16227766e+02  1.26266382e+00  1.79999999e+02 
 3.25461783e+02  1.26266382e+00  1.79999999e+02 
 3.34965439e+02  1.26266382e+00  1.79999999e+02 
 3.44746607e+02  1.26266382e+00  1.79999999e+02 
 3.54813389e+02  1.26266382e+00  1.79999999e+02 
 3.65174127e+02  1.26266382e+00  1.79999999e+02 
 3.75837404e+02  1.26266382e+00  1.79999998e+02 
 3.86812055e+02  1.26266382e+00  1.79999998e+02 
 3.98107171e+02  1.26266382e+00  1.79999998e+02 
 4.09732110e+02  1.26266382e+00  1.79999998e+02 
 4.21696503e+02  1.26266382e+00  1.79999998e+02 
 4.34010264e+02  1.26266382e+00  1.79999998e+02 
 4.46683592e+02  1.26266382e+00  1.79999998e+02 
 4.59726989e+02  1.26266382e+00  1.79999998e+02 
 4.73151259e+02  1.26266382e+00  1.79999998e+02 
 4.86967525e+02  1.26266382e+00  1.79999998e+02 
 5.01187234e+02  1.26266382e+00  1.79999998e+02 
 5.15822165e+02  1.26266382e+00  1.79999998e+02 
 5.30884444e+02  1.26266382e+00  1.79999998e+02 
 5.46386550e+02  1.26266382e+00  1.79999998e+02 
 5.62341325e+02  1.26266382e+00  1.79999998e+02 
 5.78761988e+02  1.26266382e+00  1.79999998e+02 
 5.95662144e+02  1.26266382e+00  1.79999998e+02 
 6.13055792e+02  1.26266382e+00  1.79999998e+02 
 6.30957344e+02  1.26266382e+00  1.79999997e+02 
 6.49381632e+02  1.26266382e+00  1.79999997e+02 
 6.68343918e+02  1.26266382e+00  1.79999997e+02 
 6.87859912e+02  1.26266382e+00  1.79999997e+02 
 7.07945784e+02  1.26266382e+00  1.79999997e+02 
 7.28618175e+02  1.26266382e+00  1.79999997e+02 
 7.49894209e+02  1.26266382e+00  1.79999997e+02 
 7.71791516e+02  1.26266382e+00  1.79999997e+02 
 7.94328235e+02  1.26266382e+00  1.79999997e+02 
 8.17523038e+02  1.26266382e+00  1.79999997e+02 
 8.41395142e+02  1.26266382e+00  1.79999997e+02 
 8.65964323e+02  1.26266382e+00  1.79999997e+02 
 8.91250938e+02  1.26266382e+00  1.79999996e+02 
 9.17275935e+02  1.26266382e+00  1.79999996e+02 
 9.44060876e+02  1.26266382e+00  1.79999996e+02 
 9.71627952e+02  1.26266382e+00  1.79999996e+02 
 1.00000000e+03  1.26266382e+00  1.79999996e+02 
 1.02920053e+03  1.26266382e+00  1.79999996e+02 
 1.05925373e+03  1.26266382e+00  1.79999996e+02 
 1.09018449e+03  1.26266382e+00  1.79999996e+02 
 1.12201845e+03  1.26266382e+00  1.79999996e+02 
 1.15478198e+03  1.26266382e+00  1.79999995e+02 
 1.18850223e+03  1.26266382e+00  1.79999995e+02 
 1.22320712e+03  1.26266382e+00  1.79999995e+02 
 1.25892541e+03  1.26266382e+00  1.79999995e+02 
 1.29568670e+03  1.26266382e+00  1.79999995e+02 
 1.33352143e+03  1.26266382e+00  1.79999995e+02 
 1.37246096e+03  1.26266382e+00  1.79999995e+02 
 1.41253754e+03  1.26266382e+00  1.79999994e+02 
 1.45378439e+03  1.26266382e+00  1.79999994e+02 
 1.49623566e+03  1.26266382e+00  1.79999994e+02 
 1.53992653e+03  1.26266382e+00  1.79999994e+02 
 1.58489319e+03  1.26266382e+00  1.79999994e+02 
 1.63117291e+03  1.26266382e+00  1.79999993e+02 
 1.67880402e+03  1.26266382e+00  1.79999993e+02 
 1.72782598e+03  1.26266382e+00  1.79999993e+02 
 1.77827941e+03  1.26266382e+00  1.79999993e+02 
 1.83020611e+03  1.26266382e+00  1.79999993e+02 
 1.88364909e+03  1.26266382e+00  1.79999992e+02 
 1.93865264e+03  1.26266382e+00  1.79999992e+02 
 1.99526231e+03  1.26266382e+00  1.79999992e+02 
 2.05352503e+03  1.26266382e+00  1.79999992e+02 
 2.11348904e+03  1.26266382e+00  1.79999992e+02 
 2.17520403e+03  1.26266382e+00  1.79999991e+02 
 2.23872114e+03  1.26266382e+00  1.79999991e+02 
 2.30409298e+03  1.26266382e+00  1.79999991e+02 
 2.37137371e+03  1.26266382e+00  1.79999991e+02 
 2.44061907e+03  1.26266382e+00  1.79999990e+02 
 2.51188643e+03  1.26266382e+00  1.79999990e+02 
 2.58523484e+03  1.26266382e+00  1.79999990e+02 
 2.66072506e+03  1.26266382e+00  1.79999989e+02 
 2.73841963e+03  1.26266382e+00  1.79999989e+02 
 2.81838293e+03  1.26266382e+00  1.79999989e+02 
 2.90068120e+03  1.26266382e+00  1.79999988e+02 
 2.98538262e+03  1.26266382e+00  1.79999988e+02 
 3.07255737e+03  1.26266382e+00  1.79999988e+02 
 3.16227766e+03  1.26266382e+00  1.79999987e+02 
 3.25461783e+03  1.26266382e+00  1.79999987e+02 
 3.34965439e+03  1.26266382e+00  1.79999987e+02 
 3.44746607e+03  1.26266382e+00  1.79999986e+02 
 3.54813389e+03  1.26266382e+00  1.79999986e+02 
 3.65174127e+03  1.26266382e+00  1.79999985e+02 
 3.75837404e+03  1.26266382e+00  1.79999985e+02 
 3.86812055e+03  1.26266382e+00  1.79999985e+02 
 3.98107171e+03  1.26266382e+00  1.79999984e+02 
 4.09732110e+03  1.26266382e+00  1.79999984e+02 
 4.21696503e+03  1.26266382e+00  1.79999983e+02 
 4.34010264e+03  1.26266382e+00  1.79999983e+02 
 4.46683592e+03  1.26266382e+00  1.79999982e+02 
 4.59726989e+03  1.26266382e+00  1.79999982e+02 
 4.73151259e+03  1.26266382e+00  1.79999981e+02 
 4.86967525e+03  1.26266382e+00  1.79999981e+02 
 5.01187234e+03  1.26266382e+00  1.79999980e+02 
 5.15822165e+03  1.26266382e+00  1.79999979e+02 
 5.30884444e+03  1.26266382e+00  1.79999979e+02 
 5.46386550e+03  1.26266382e+00  1.79999978e+02 
 5.62341325e+03  1.26266382e+00  1.79999978e+02 
 5.78761988e+03  1.26266382e+00  1.79999977e+02 
 5.95662144e+03  1.26266382e+00  1.79999976e+02 
 6.13055792e+03  1.26266382e+00  1.79999976e+02 
 6.30957344e+03  1.26266382e+00  1.79999975e+02 
 6.49381632e+03  1.26266382e+00  1.79999974e+02 
 6.68343918e+03  1.26266382e+00  1.79999973e+02 
 6.87859912e+03  1.26266382e+00  1.79999973e+02 
 7.07945784e+03  1.26266382e+00  1.79999972e+02 
 7.28618175e+03  1.26266382e+00  1.79999971e+02 
 7.49894209e+03  1.26266382e+00  1.79999970e+02 
 7.71791516e+03  1.26266382e+00  1.79999969e+02 
 7.94328235e+03  1.26266382e+00  1.79999968e+02 
 8.17523038e+03  1.26266382e+00  1.79999967e+02 
 8.41395142e+03  1.26266382e+00  1.79999966e+02 
 8.65964323e+03  1.26266382e+00  1.79999965e+02 
 8.91250938e+03  1.26266382e+00  1.79999964e+02 
 9.17275935e+03  1.26266382e+00  1.79999963e+02 
 9.44060876e+03  1.26266382e+00  1.79999962e+02 
 9.71627952e+03  1.26266382e+00  1.79999961e+02 
 1.00000000e+04  1.26266382e+00  1.79999960e+02 
 1.02920053e+04  1.26266382e+00  1.79999959e+02 
 1.05925373e+04  1.26266382e+00  1.79999958e+02 
 1.09018449e+04  1.26266382e+00  1.79999956e+02 
 1.12201845e+04  1.26266382e+00  1.79999955e+02 
 1.15478198e+04  1.26266382e+00  1.79999954e+02 
 1.18850223e+04  1.26266382e+00  1.79999953e+02 
 1.22320712e+04  1.26266382e+00  1.79999951e+02 
 1.25892541e+04  1.26266382e+00  1.79999950e+02 
 1.29568670e+04  1.26266382e+00  1.79999948e+02 
 1.33352143e+04  1.26266382e+00  1.79999947e+02 
 1.37246096e+04  1.26266382e+00  1.79999945e+02 
 1.41253754e+04  1.26266382e+00  1.79999944e+02 
 1.45378439e+04  1.26266382e+00  1.79999942e+02 
 1.49623566e+04  1.26266382e+00  1.79999940e+02 
 1.53992653e+04  1.26266382e+00  1.79999938e+02 
 1.58489319e+04  1.26266382e+00  1.79999937e+02 
 1.63117291e+04  1.26266382e+00  1.79999935e+02 
 1.67880402e+04  1.26266382e+00  1.79999933e+02 
 1.72782598e+04  1.26266382e+00  1.79999931e+02 
 1.77827941e+04  1.26266382e+00  1.79999929e+02 
 1.83020611e+04  1.26266382e+00  1.79999927e+02 
 1.88364909e+04  1.26266382e+00  1.79999925e+02 
 1.93865264e+04  1.26266382e+00  1.79999923e+02 
 1.99526231e+04  1.26266382e+00  1.79999920e+02 
 2.05352503e+04  1.26266382e+00  1.79999918e+02 
 2.11348904e+04  1.26266382e+00  1.79999916e+02 
 2.17520403e+04  1.26266382e+00  1.79999913e+02 
 2.23872114e+04  1.26266382e+00  1.79999911e+02 
 2.30409298e+04  1.26266382e+00  1.79999908e+02 
 2.37137371e+04  1.26266382e+00  1.79999905e+02 
 2.44061907e+04  1.26266382e+00  1.79999903e+02 
 2.51188643e+04  1.26266382e+00  1.79999900e+02 
 2.58523484e+04  1.26266382e+00  1.79999897e+02 
 2.66072506e+04  1.26266382e+00  1.79999894e+02 
 2.73841963e+04  1.26266382e+00  1.79999891e+02 
 2.81838293e+04  1.26266382e+00  1.79999887e+02 
 2.90068120e+04  1.26266382e+00  1.79999884e+02 
 2.98538262e+04  1.26266382e+00  1.79999881e+02 
 3.07255737e+04  1.26266382e+00  1.79999877e+02 
 3.16227766e+04  1.26266382e+00  1.79999874e+02 
 3.25461783e+04  1.26266382e+00  1.79999870e+02 
 3.34965439e+04  1.26266382e+00  1.79999866e+02 
 3.44746607e+04  1.26266382e+00  1.79999862e+02 
 3.54813389e+04  1.26266382e+00  1.79999858e+02 
 3.65174127e+04  1.26266382e+00  1.79999854e+02 
 3.75837404e+04  1.26266382e+00  1.79999850e+02 
 3.86812055e+04  1.26266382e+00  1.79999846e+02 
 3.98107171e+04  1.26266382e+00  1.79999841e+02 
 4.09732110e+04  1.26266382e+00  1.79999836e+02 
 4.21696503e+04  1.26266382e+00  1.79999832e+02 
 4.34010264e+04  1.26266382e+00  1.79999827e+02 
 4.46683592e+04  1.26266382e+00  1.79999822e+02 
 4.59726989e+04  1.26266382e+00  1.79999816e+02 
 4.73151259e+04  1.26266382e+00  1.79999811e+02 
 4.86967525e+04  1.26266382e+00  1.79999806e+02 
 5.01187234e+04  1.26266382e+00  1.79999800e+02 
 5.15822165e+04  1.26266382e+00  1.79999794e+02 
 5.30884444e+04  1.26266382e+00  1.79999788e+02 
 5.46386550e+04  1.26266382e+00  1.79999782e+02 
 5.62341325e+04  1.26266382e+00  1.79999775e+02 
 5.78761988e+04  1.26266382e+00  1.79999769e+02 
 5.95662144e+04  1.26266382e+00  1.79999762e+02 
 6.13055792e+04  1.26266382e+00  1.79999755e+02 
