 v-sweep         v(in)           v(out)          v(src)         
 0.00000000e+00  0.00000000e+00  1.79999999e+00 -1.51572480e-28 
 5.00000000e-03  5.00000000e-03  1.79999999e+00 -4.68812577e-38 
 1.00000000e-02  1.00000000e-02  1.79999999e+00 -1.45003389e-47 
 1.50000000e-02  1.50000000e-02  1.79999999e+00 -4.48494425e-57 
 2.00000000e-02  2.00000000e-02  1.79999999e+00 -1.38718999e-66 
 2.50000000e-02  2.50000000e-02  1.79999999e+00 -4.29056854e-76 
 3.00000000e-02  3.00000000e-02  1.79999999e+00 -1.32706972e-85 
 3.50000000e-02  3.50000000e-02  1.79999999e+00 -4.10461699e-95 
 4.00000000e-02  4.00000000e-02  1.79999999e+00 -1.26955504e-104 
 4.50000000e-02  4.50000000e-02  1.79999999e+00 -3.92672451e-114 
 5.00000000e-02  5.00000000e-02  1.79999999e+00 -1.21453303e-123 
 5.50000000e-02  5.50000000e-02  1.79999999e+00 -3.75654181e-133 
 6.00000000e-02  6.00000000e-02  1.79999999e+00 -1.16189565e-142 
 6.50000000e-02  6.50000000e-02  1.79999999e+00 -3.59373477e-152 
 7.00000000e-02  7.00000000e-02  1.79999999e+00 -1.11153955e-161 
 7.50000000e-02  7.50000000e-02  1.79999999e+00 -3.43798373e-171 
 8.00000000e-02  8.00000000e-02  1.79999999e+00 -1.06336586e-180 
 8.50000000e-02  8.50000000e-02  1.79999999e+00 -3.28898287e-190 
 9.00000000e-02  9.00000000e-02  1.79999999e+00 -1.01728001e-199 
 9.50000000e-02  9.50000000e-02  1.79999999e+00 -3.14643965e-209 
 1.00000000e-01  1.00000000e-01  1.79999999e+00 -9.73191491e-219 
 1.05000000e-01  1.05000000e-01  1.79999999e+00 -3.01007419e-228 
 1.10000000e-01  1.10000000e-01  1.79999999e+00 -9.31013755e-238 
 1.15000000e-01  1.15000000e-01  1.79999999e+00 -2.87961876e-247 
 1.20000000e-01  1.20000000e-01  1.79999999e+00 -8.90663986e-257 
 1.25000000e-01  1.25000000e-01  1.79999999e+00 -2.75481722e-266 
 1.30000000e-01  1.30000000e-01  1.79999999e+00 -8.52062960e-276 
 1.35000000e-01  1.35000000e-01  1.79999999e+00 -2.63542453e-285 
 1.40000000e-01  1.40000000e-01  1.79999999e+00 -8.15134888e-295 
 1.45000000e-01  1.45000000e-01  1.79999999e+00 -2.52120627e-304 
 1.50000000e-01  1.50000000e-01  1.79999999e+00 -7.79807246e-314 
 1.55000000e-01  1.55000000e-01  1.79999999e+00  0.00000000e+00 
 1.60000000e-01  1.60000000e-01  1.79999999e+00  0.00000000e+00 
 1.65000000e-01  1.65000000e-01  1.79999999e+00  0.00000000e+00 
 1.70000000e-01  1.70000000e-01  1.79999999e+00  0.00000000e+00 
 1.75000000e-01  1.75000000e-01  1.79999999e+00  0.00000000e+00 
 1.80000000e-01  1.80000000e-01  1.79999999e+00  0.00000000e+00 
 1.85000000e-01  1.85000000e-01  1.79999999e+00  0.00000000e+00 
 1.90000000e-01  1.90000000e-01  1.79999999e+00  0.00000000e+00 
 1.95000000e-01  1.95000000e-01  1.79999999e+00  0.00000000e+00 
 2.00000000e-01  2.00000000e-01  1.79999999e+00  0.00000000e+00 
 2.05000000e-01  2.05000000e-01  1.79999999e+00  0.00000000e+00 
 2.10000000e-01  2.10000000e-01  1.79999999e+00  0.00000000e+00 
 2.15000000e-01  2.15000000e-01  1.79999999e+00  0.00000000e+00 
 2.20000000e-01  2.20000000e-01  1.79999999e+00  0.00000000e+00 
 2.25000000e-01  2.25000000e-01  1.79999999e+00  0.00000000e+00 
 2.30000000e-01  2.30000000e-01  1.79999999e+00  0.00000000e+00 
 2.35000000e-01  2.35000000e-01  1.79999999e+00  0.00000000e+00 
 2.40000000e-01  2.40000000e-01  1.79999999e+00  0.00000000e+00 
 2.45000000e-01  2.45000000e-01  1.79999999e+00  0.00000000e+00 
 2.50000000e-01  2.50000000e-01  1.79999999e+00  0.00000000e+00 
 2.55000000e-01  2.55000000e-01  1.79999999e+00  0.00000000e+00 
 2.60000000e-01  2.60000000e-01  1.79999999e+00  0.00000000e+00 
 2.65000000e-01  2.65000000e-01  1.79999999e+00  0.00000000e+00 
 2.70000000e-01  2.70000000e-01  1.79999999e+00  0.00000000e+00 
 2.75000000e-01  2.75000000e-01  1.79999999e+00  0.00000000e+00 
 2.80000000e-01  2.80000000e-01  1.79999999e+00  0.00000000e+00 
 2.85000000e-01  2.85000000e-01  1.79999999e+00  0.00000000e+00 
 2.90000000e-01  2.90000000e-01  1.79999999e+00  0.00000000e+00 
 2.95000000e-01  2.95000000e-01  1.79999999e+00  0.00000000e+00 
 3.00000000e-01  3.00000000e-01  1.79999999e+00  0.00000000e+00 
 3.05000000e-01  3.05000000e-01  1.79999999e+00  0.00000000e+00 
 3.10000000e-01  3.10000000e-01  1.79999999e+00  0.00000000e+00 
 3.15000000e-01  3.15000000e-01  1.79999999e+00  0.00000000e+00 
 3.20000000e-01  3.20000000e-01  1.79999999e+00  0.00000000e+00 
 3.25000000e-01  3.25000000e-01  1.79999999e+00  0.00000000e+00 
 3.30000000e-01  3.30000000e-01  1.79999999e+00  0.00000000e+00 
 3.35000000e-01  3.35000000e-01  1.79999999e+00  0.00000000e+00 
 3.40000000e-01  3.40000000e-01  1.79999999e+00  0.00000000e+00 
 3.45000000e-01  3.45000000e-01  1.79999999e+00  0.00000000e+00 
 3.50000000e-01  3.50000000e-01  1.79999999e+00  0.00000000e+00 
 3.55000000e-01  3.55000000e-01  1.79999999e+00  0.00000000e+00 
 3.60000000e-01  3.60000000e-01  1.79999999e+00  0.00000000e+00 
 3.65000000e-01  3.65000000e-01  1.79999999e+00  0.00000000e+00 
 3.70000000e-01  3.70000000e-01  1.79999999e+00  0.00000000e+00 
 3.75000000e-01  3.75000000e-01  1.79999999e+00  0.00000000e+00 
 3.80000000e-01  3.80000000e-01  1.79999999e+00  0.00000000e+00 
 3.85000000e-01  3.85000000e-01  1.79999999e+00  0.00000000e+00 
 3.90000000e-01  3.90000000e-01  1.79999999e+00  0.00000000e+00 
 3.95000000e-01  3.95000000e-01  1.79999999e+00  0.00000000e+00 
 4.00000000e-01  4.00000000e-01  1.79999999e+00  0.00000000e+00 
 4.05000000e-01  4.05000000e-01  1.79999999e+00  0.00000000e+00 
 4.10000000e-01  4.10000000e-01  1.79999999e+00  0.00000000e+00 
 4.15000000e-01  4.15000000e-01  1.79999999e+00  0.00000000e+00 
 4.20000000e-01  4.20000000e-01  1.79999999e+00  0.00000000e+00 
 4.25000000e-01  4.25000000e-01  1.79999999e+00  0.00000000e+00 
 4.30000000e-01  4.30000000e-01  1.79999999e+00  0.00000000e+00 
 4.35000000e-01  4.35000000e-01  1.79999999e+00  0.00000000e+00 
 4.40000000e-01  4.40000000e-01  1.79999999e+00  0.00000000e+00 
 4.45000000e-01  4.45000000e-01  1.79999999e+00  0.00000000e+00 
 4.50000000e-01  4.50000000e-01  1.79999999e+00  0.00000000e+00 
 4.55000000e-01  4.55000000e-01  1.79933908e+00  1.05746025e-04 
 4.60000000e-01  4.60000000e-01  1.79748709e+00  4.02063940e-04 
 4.65000000e-01  4.65000000e-01  1.79460964e+00  8.62456098e-04 
 4.70000000e-01  4.70000000e-01  1.79083714e+00  1.46605625e-03 
 4.75000000e-01  4.75000000e-01  1.78627482e+00  2.19602697e-03 
 4.80000000e-01  4.80000000e-01  1.78100904e+00  3.03855217e-03 
 4.85000000e-01  4.85000000e-01  1.77511167e+00  3.98213158e-03 
 4.90000000e-01  4.90000000e-01  1.76864328e+00  5.01707354e-03 
 4.95000000e-01  4.95000000e-01  1.76165548e+00  6.13512200e-03 
 5.00000000e-01  5.00000000e-01  1.75419264e+00  7.32917673e-03 
 5.05000000e-01  5.05000000e-01  1.74629324e+00  8.59307989e-03 
 5.10000000e-01  5.10000000e-01  1.73799093e+00  9.92145052e-03 
 5.15000000e-01  5.15000000e-01  1.72931527e+00  1.13095547e-02 
 5.20000000e-01  5.20000000e-01  1.72029248e+00  1.27532020e-02 
 5.25000000e-01  5.25000000e-01  1.71094585e+00  1.42486626e-02 
 5.30000000e-01  5.30000000e-01  1.70129624e+00  1.57925998e-02 
 5.35000000e-01  5.35000000e-01  1.69136240e+00  1.73820144e-02 
 5.40000000e-01  5.40000000e-01  1.68116125e+00  1.90141993e-02 
 5.45000000e-01  5.45000000e-01  1.67083166e+00  2.06669338e-02 
 5.50000000e-01  5.50000000e-01  1.66013152e+00  2.23789556e-02 
 5.55000000e-01  5.55000000e-01  1.64920910e+00  2.41265427e-02 
 5.60000000e-01  5.60000000e-01  1.63807347e+00  2.59082431e-02 
 5.65000000e-01  5.65000000e-01  1.62673533e+00  2.77223463e-02 
 5.70000000e-01  5.70000000e-01  1.61520447e+00  2.95672838e-02 
 5.75000000e-01  5.75000000e-01  1.60348995e+00  3.14416071e-02 
 5.80000000e-01  5.80000000e-01  1.59160015e+00  3.33439753e-02 
 5.85000000e-01  5.85000000e-01  1.57954284e+00  3.52731444e-02 
 5.90000000e-01  5.90000000e-01  1.56732526e+00  3.72279578e-02 
 5.95000000e-01  5.95000000e-01  1.55495413e+00  3.92073378e-02 
 6.00000000e-01  6.00000000e-01  1.54243575e+00  4.12102786e-02 
 6.05000000e-01  6.05000000e-01  1.52977599e+00  4.32358397e-02 
 6.10000000e-01  6.10000000e-01  1.51698037e+00  4.52831399e-02 
 6.15000000e-01  6.15000000e-01  1.50405404e+00  4.73513525e-02 
