 v-sweep         v(in)           v(out)         
 4.50000000e-01  4.50000000e-01 -1.01166910e-01 
 4.55000000e-01  4.55000000e-01 -9.73838263e-02 
 4.60000000e-01  4.60000000e-01 -9.35212851e-02 
 4.65000000e-01  4.65000000e-01 -8.96570531e-02 
 4.70000000e-01  4.70000000e-01 -8.57928134e-02 
 4.75000000e-01  4.75000000e-01 -8.19286012e-02 
 4.80000000e-01  4.80000000e-01 -7.80644172e-02 
 4.85000000e-01  4.85000000e-01 -7.42002610e-02 
 4.90000000e-01  4.90000000e-01 -7.03361325e-02 
 4.95000000e-01  4.95000000e-01 -6.64720314e-02 
 5.00000000e-01  5.00000000e-01 -6.26079575e-02 
 5.05000000e-01  5.05000000e-01 -5.87439106e-02 
 5.10000000e-01  5.10000000e-01 -5.48798905e-02 
 5.15000000e-01  5.15000000e-01 -5.10158969e-02 
 5.20000000e-01  5.20000000e-01 -4.71519296e-02 
 5.25000000e-01  5.25000000e-01 -4.32879885e-02 
 5.30000000e-01  5.30000000e-01 -3.94240734e-02 
 5.35000000e-01  5.35000000e-01 -3.55601839e-02 
 5.40000000e-01  5.40000000e-01 -3.16963200e-02 
 5.45000000e-01  5.45000000e-01 -2.78324815e-02 
 5.50000000e-01  5.50000000e-01 -2.39686680e-02 
 5.55000000e-01  5.55000000e-01 -2.01048795e-02 
 5.60000000e-01  5.60000000e-01 -1.62411158e-02 
 5.65000000e-01  5.65000000e-01 -1.23773767e-02 
 5.70000000e-01  5.70000000e-01 -8.51366189e-03 
 5.75000000e-01  5.75000000e-01 -4.64378580e-03 
 5.80000000e-01  5.80000000e-01 -7.82935975e-04 
 5.85000000e-01  5.85000000e-01  3.07734132e-03 
 5.90000000e-01  5.90000000e-01  6.94183721e-03 
 5.95000000e-01  5.95000000e-01  1.08090206e-02 
 6.00000000e-01  6.00000000e-01  1.46789270e-02 
 6.05000000e-01  6.05000000e-01  1.85515364e-02 
 6.10000000e-01  6.10000000e-01  2.24268291e-02 
 6.15000000e-01  6.15000000e-01  2.63047853e-02 
 6.20000000e-01  6.20000000e-01  3.01853859e-02 
 6.25000000e-01  6.25000000e-01  3.40686117e-02 
 6.30000000e-01  6.30000000e-01  3.79544439e-02 
 6.35000000e-01  6.35000000e-01  4.18428637e-02 
 6.40000000e-01  6.40000000e-01  4.57338528e-02 
 6.45000000e-01  6.45000000e-01  4.96273929e-02 
 6.50000000e-01  6.50000000e-01  5.35234661e-02 
 6.55000000e-01  6.55000000e-01  5.74220546e-02 
 6.60000000e-01  6.60000000e-01  6.13231407e-02 
 6.65000000e-01  6.65000000e-01  6.52267072e-02 
 6.70000000e-01  6.70000000e-01  6.91327368e-02 
 6.75000000e-01  6.75000000e-01  7.30412125e-02 
 6.80000000e-01  6.80000000e-01  7.69521175e-02 
 6.85000000e-01  6.85000000e-01  8.08654354e-02 
 6.90000000e-01  6.90000000e-01  8.47811496e-02 
 6.95000000e-01  6.95000000e-01  8.86992438e-02 
 7.00000000e-01  7.00000000e-01  9.26197022e-02 
 7.05000000e-01  7.05000000e-01  9.65425088e-02 
 7.10000000e-01  7.10000000e-01  1.00467648e-01 
 7.15000000e-01  7.15000000e-01  1.04395104e-01 
 7.20000000e-01  7.20000000e-01  1.08324862e-01 
 7.25000000e-01  7.25000000e-01  1.12256906e-01 
 7.30000000e-01  7.30000000e-01  1.16191222e-01 
 7.35000000e-01  7.35000000e-01  1.20127794e-01 
 7.40000000e-01  7.40000000e-01  1.24066608e-01 
 7.45000000e-01  7.45000000e-01  1.28007650e-01 
 7.50000000e-01  7.50000000e-01  1.31950904e-01 
 7.55000000e-01  7.55000000e-01  1.35896357e-01 
 7.60000000e-01  7.60000000e-01  1.39843996e-01 
 7.65000000e-01  7.65000000e-01  1.43793804e-01 
 7.70000000e-01  7.70000000e-01  1.47745770e-01 
 7.75000000e-01  7.75000000e-01  1.51699879e-01 
 7.80000000e-01  7.80000000e-01  1.55656118e-01 
 7.85000000e-01  7.85000000e-01  1.59614474e-01 
 7.90000000e-01  7.90000000e-01  1.63574933e-01 
 7.95000000e-01  7.95000000e-01  1.67537482e-01 
 8.00000000e-01  8.00000000e-01  1.71502109e-01 
 8.05000000e-01  8.05000000e-01  1.75468800e-01 
 8.10000000e-01  8.10000000e-01  1.79437542e-01 
 8.15000000e-01  8.15000000e-01  1.83408324e-01 
 8.20000000e-01  8.20000000e-01  1.87381133e-01 
 8.25000000e-01  8.25000000e-01  1.91355956e-01 
 8.30000000e-01  8.30000000e-01  1.95332782e-01 
 8.35000000e-01  8.35000000e-01  1.99311598e-01 
 8.40000000e-01  8.40000000e-01  2.03292392e-01 
 8.45000000e-01  8.45000000e-01  2.07275153e-01 
 8.50000000e-01  8.50000000e-01  2.11259869e-01 
 8.55000000e-01  8.55000000e-01  2.15246528e-01 
 8.60000000e-01  8.60000000e-01  2.19235119e-01 
 8.65000000e-01  8.65000000e-01  2.23225630e-01 
 8.70000000e-01  8.70000000e-01  2.27218051e-01 
 8.75000000e-01  8.75000000e-01  2.31212369e-01 
