 frequency       frequency       frequency       vdb(out)        vp(out)        
 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.23128851e+02  2.92514921e+00 
 1.02920053e+01  1.02920053e+01  0.00000000e+00  1.23116998e+02  2.91903281e+00 
 1.05925373e+01  1.05925373e+01  0.00000000e+00  1.23104479e+02  2.91275545e+00 
 1.09018449e+01  1.09018449e+01  0.00000000e+00  1.23091257e+02  2.90631390e+00 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.23077295e+02  2.89970497e+00 
 1.15478198e+01  1.15478198e+01  0.00000000e+00  1.23062555e+02  2.89292549e+00 
 1.18850223e+01  1.18850223e+01  0.00000000e+00  1.23046996e+02  2.88597234e+00 
 1.22320712e+01  1.22320712e+01  0.00000000e+00  1.23030575e+02  2.87884245e+00 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.23013249e+02  2.87153282e+00 
 1.29568670e+01  1.29568670e+01  0.00000000e+00  1.22994971e+02  2.86404051e+00 
 1.33352143e+01  1.33352143e+01  0.00000000e+00  1.22975694e+02  2.85636269e+00 
 1.37246096e+01  1.37246096e+01  0.00000000e+00  1.22955367e+02  2.84849661e+00 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.22933940e+02  2.84043967e+00 
 1.45378439e+01  1.45378439e+01  0.00000000e+00  1.22911357e+02  2.83218936e+00 
 1.49623566e+01  1.49623566e+01  0.00000000e+00  1.22887564e+02  2.82374334e+00 
 1.53992653e+01  1.53992653e+01  0.00000000e+00  1.22862502e+02  2.81509945e+00 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.22836112e+02  2.80625570e+00 
 1.63117291e+01  1.63117291e+01  0.00000000e+00  1.22808332e+02  2.79721028e+00 
 1.67880402e+01  1.67880402e+01  0.00000000e+00  1.22779098e+02  2.78796163e+00 
 1.72782598e+01  1.72782598e+01  0.00000000e+00  1.22748345e+02  2.77850843e+00 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.22716006e+02  2.76884959e+00 
 1.83020611e+01  1.83020611e+01  0.00000000e+00  1.22682012e+02  2.75898433e+00 
 1.88364909e+01  1.88364909e+01  0.00000000e+00  1.22646290e+02  2.74891217e+00 
 1.93865264e+01  1.93865264e+01  0.00000000e+00  1.22608770e+02  2.73863292e+00 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.22569378e+02  2.72814678e+00 
 2.05352503e+01  2.05352503e+01  0.00000000e+00  1.22528037e+02  2.71745427e+00 
 2.11348904e+01  2.11348904e+01  0.00000000e+00  1.22484671e+02  2.70655633e+00 
 2.17520403e+01  2.17520403e+01  0.00000000e+00  1.22439203e+02  2.69545428e+00 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  1.22391555e+02  2.68414987e+00 
 2.30409298e+01  2.30409298e+01  0.00000000e+00  1.22341647e+02  2.67264531e+00 
 2.37137371e+01  2.37137371e+01  0.00000000e+00  1.22289400e+02  2.66094324e+00 
 2.44061907e+01  2.44061907e+01  0.00000000e+00  1.22234735e+02  2.64904678e+00 
 2.51188643e+01  2.51188643e+01  0.00000000e+00  1.22177571e+02  2.63695957e+00 
 2.58523484e+01  2.58523484e+01  0.00000000e+00  1.22117829e+02  2.62468570e+00 
 2.66072506e+01  2.66072506e+01  0.00000000e+00  1.22055431e+02  2.61222981e+00 
 2.73841963e+01  2.73841963e+01  0.00000000e+00  1.21990299e+02  2.59959704e+00 
 2.81838293e+01  2.81838293e+01  0.00000000e+00  1.21922357e+02  2.58679306e+00 
 2.90068120e+01  2.90068120e+01  0.00000000e+00  1.21851529e+02  2.57382404e+00 
 2.98538262e+01  2.98538262e+01  0.00000000e+00  1.21777744e+02  2.56069671e+00 
 3.07255737e+01  3.07255737e+01  0.00000000e+00  1.21700930e+02  2.54741827e+00 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  1.21621020e+02  2.53399646e+00 
 3.25461783e+01  3.25461783e+01  0.00000000e+00  1.21537948e+02  2.52043950e+00 
 3.34965439e+01  3.34965439e+01  0.00000000e+00  1.21451654e+02  2.50675610e+00 
 3.44746607e+01  3.44746607e+01  0.00000000e+00  1.21362078e+02  2.49295540e+00 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  1.21269167e+02  2.47904702e+00 
 3.65174127e+01  3.65174127e+01  0.00000000e+00  1.21172872e+02  2.46504094e+00 
 3.75837404e+01  3.75837404e+01  0.00000000e+00  1.21073148e+02  2.45094753e+00 
 3.86812055e+01  3.86812055e+01  0.00000000e+00  1.20969953e+02  2.43677753e+00 
 3.98107171e+01  3.98107171e+01  0.00000000e+00  1.20863254e+02  2.42254193e+00 
 4.09732110e+01  4.09732110e+01  0.00000000e+00  1.20753021e+02  2.40825204e+00 
 4.21696503e+01  4.21696503e+01  0.00000000e+00  1.20639229e+02  2.39391934e+00 
 4.34010264e+01  4.34010264e+01  0.00000000e+00  1.20521860e+02  2.37955553e+00 
 4.46683592e+01  4.46683592e+01  0.00000000e+00  1.20400902e+02  2.36517239e+00 
 4.59726989e+01  4.59726989e+01  0.00000000e+00  1.20276347e+02  2.35078182e+00 
 4.73151259e+01  4.73151259e+01  0.00000000e+00  1.20148196e+02  2.33639574e+00 
 4.86967525e+01  4.86967525e+01  0.00000000e+00  1.20016453e+02  2.32202603e+00 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  1.19881130e+02  2.30768453e+00 
 5.15822165e+01  5.15822165e+01  0.00000000e+00  1.19742243e+02  2.29338295e+00 
 5.30884444e+01  5.30884444e+01  0.00000000e+00  1.19599815e+02  2.27913284e+00 
 5.46386550e+01  5.46386550e+01  0.00000000e+00  1.19453875e+02  2.26494555e+00 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  1.19304456e+02  2.25083216e+00 
 5.78761988e+01  5.78761988e+01  0.00000000e+00  1.19151597e+02  2.23680346e+00 
 5.95662144e+01  5.95662144e+01  0.00000000e+00  1.18995341e+02  2.22286992e+00 
 6.13055792e+01  6.13055792e+01  0.00000000e+00  1.18835738e+02  2.20904163e+00 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  1.18672841e+02  2.19532830e+00 
 6.49381632e+01  6.49381632e+01  0.00000000e+00  1.18506705e+02  2.18173918e+00 
 6.68343918e+01  6.68343918e+01  0.00000000e+00  1.18337393e+02  2.16828310e+00 
 6.87859912e+01  6.87859912e+01  0.00000000e+00  1.18164968e+02  2.15496840e+00 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  1.17989497e+02  2.14180294e+00 
 7.28618175e+01  7.28618175e+01  0.00000000e+00  1.17811050e+02  2.12879405e+00 
 7.49894209e+01  7.49894209e+01  0.00000000e+00  1.17629701e+02  2.11594858e+00 
 7.71791516e+01  7.71791516e+01  0.00000000e+00  1.17445522e+02  2.10327284e+00 
 7.94328235e+01  7.94328235e+01  0.00000000e+00  1.17258590e+02  2.09077263e+00 
 8.17523038e+01  8.17523038e+01  0.00000000e+00  1.17068982e+02  2.07845321e+00 
 8.41395142e+01  8.41395142e+01  0.00000000e+00  1.16876778e+02  2.06631935e+00 
 8.65964323e+01  8.65964323e+01  0.00000000e+00  1.16682055e+02  2.05437527e+00 
 8.91250938e+01  8.91250938e+01  0.00000000e+00  1.16484894e+02  2.04262473e+00 
 9.17275935e+01  9.17275935e+01  0.00000000e+00  1.16285374e+02  2.03107097e+00 
 9.44060876e+01  9.44060876e+01  0.00000000e+00  1.16083575e+02  2.01971675e+00 
 9.71627952e+01  9.71627952e+01  0.00000000e+00  1.15879575e+02  2.00856438e+00 
 1.00000000e+02  1.00000000e+02  0.00000000e+00  1.15673454e+02  1.99761573e+00 
 1.02920053e+02  1.02920053e+02  0.00000000e+00  1.15465290e+02  1.98687222e+00 
 1.05925373e+02  1.05925373e+02  0.00000000e+00  1.15255158e+02  1.97633488e+00 
 1.09018449e+02  1.09018449e+02  0.00000000e+00  1.15043135e+02  1.96600435e+00 
 1.12201845e+02  1.12201845e+02  0.00000000e+00  1.14829295e+02  1.95588087e+00 
 1.15478198e+02  1.15478198e+02  0.00000000e+00  1.14613711e+02  1.94596438e+00 
 1.18850223e+02  1.18850223e+02  0.00000000e+00  1.14396454e+02  1.93625447e+00 
 1.22320712e+02  1.22320712e+02  0.00000000e+00  1.14177593e+02  1.92675040e+00 
 1.25892541e+02  1.25892541e+02  0.00000000e+00  1.13957197e+02  1.91745119e+00 
 1.29568670e+02  1.29568670e+02  0.00000000e+00  1.13735331e+02  1.90835555e+00 
