 time            time            v(rfp)          v(lop)          voutdiff       
 0.00000000e+00  0.00000000e+00  8.50000000e-01  5.50000000e-01  8.88178420e-16 
 1.00000000e-12  1.00000000e-12  8.50000628e-01  5.51200000e-01 -4.91743672e-08 
 2.00000000e-12  2.00000000e-12  8.50001257e-01  5.52400000e-01 -1.02142642e-07 
 4.00000000e-12  4.00000000e-12  8.50002513e-01  5.54800000e-01 -1.44721628e-07 
 8.00000000e-12  8.00000000e-12  8.50005027e-01  5.59600000e-01  8.23866186e-07 
 1.60000000e-11  1.60000000e-11  8.50010053e-01  5.69200000e-01  1.09325151e-05 
 3.20000000e-11  3.20000000e-11  8.50020106e-01  5.88400000e-01  7.10912117e-05 
 6.40000000e-11  6.40000000e-11  8.50040212e-01  6.26800000e-01  3.12160282e-04 
 1.28000000e-10  1.28000000e-10  8.50080421e-01  7.03600000e-01  7.76416992e-04 
 2.28000000e-10  2.28000000e-10  8.50143237e-01  8.23600000e-01  5.14978831e-04 
 3.28000000e-10  3.28000000e-10  8.50206030e-01  9.43600000e-01 -6.68589486e-04 
 4.14000000e-10  4.14000000e-10  8.50260007e-01  1.04680000e+00 -3.01409447e-03 
 5.00000000e-10  5.00000000e-10  8.50313953e-01  1.15000000e+00 -5.40501771e-03 
 5.10000000e-10  5.10000000e-10  8.50320223e-01  1.15000000e+00 -5.49456225e-03 
 5.30000000e-10  5.30000000e-10  8.50332763e-01  1.15000000e+00 -5.64993703e-03 
 5.70000000e-10  5.70000000e-10  8.50357835e-01  1.15000000e+00 -6.00980589e-03 
 6.50000000e-10  6.50000000e-10  8.50407953e-01  1.15000000e+00 -6.90142691e-03 
 7.50000000e-10  7.50000000e-10  8.50470542e-01  1.15000000e+00 -8.02853565e-03 
 8.50000000e-10  8.50000000e-10  8.50533056e-01  1.15000000e+00 -9.16010102e-03 
 9.50000000e-10  9.50000000e-10  8.50595486e-01  1.15000000e+00 -1.02832572e-02 
 1.05000000e-09  1.05000000e-09  8.50657822e-01  1.15000000e+00 -1.14108299e-02 
 1.15000000e-09  1.15000000e-09  8.50720054e-01  1.15000000e+00 -1.25319364e-02 
 1.25000000e-09  1.25000000e-09  8.50782172e-01  1.15000000e+00 -1.36545560e-02 
 1.35000000e-09  1.35000000e-09  8.50844167e-01  1.15000000e+00 -1.47723573e-02 
 1.45000000e-09  1.45000000e-09  8.50906029e-01  1.15000000e+00 -1.58898535e-02 
 1.55000000e-09  1.55000000e-09  8.50967747e-01  1.15000000e+00 -1.70032351e-02 
 1.65000000e-09  1.65000000e-09  8.51029313e-01  1.15000000e+00 -1.81151811e-02 
 1.75000000e-09  1.75000000e-09  8.51090716e-01  1.15000000e+00 -1.92232422e-02 
 1.85000000e-09  1.85000000e-09  8.51151947e-01  1.15000000e+00 -2.03290665e-02 
 1.95000000e-09  1.95000000e-09  8.51212996e-01  1.15000000e+00 -2.14310089e-02 
 2.05000000e-09  2.05000000e-09  8.51273854e-01  1.15000000e+00 -2.25300716e-02 
 2.15000000e-09  2.15000000e-09  8.51334510e-01  1.15000000e+00 -2.36251477e-02 
 2.25000000e-09  2.25000000e-09  8.51394956e-01  1.15000000e+00 -2.47168169e-02 
 2.35000000e-09  2.35000000e-09  8.51455181e-01  1.15000000e+00 -2.58042820e-02 
 2.45000000e-09  2.45000000e-09  8.51515176e-01  1.15000000e+00 -2.68878887e-02 
 2.55000000e-09  2.55000000e-09  8.51574933e-01  1.15000000e+00 -2.79670377e-02 
 2.65000000e-09  2.65000000e-09  8.51634440e-01  1.15000000e+00 -2.90419086e-02 
 2.75000000e-09  2.75000000e-09  8.51693690e-01  1.15000000e+00 -3.01120458e-02 
 2.85000000e-09  2.85000000e-09  8.51752672e-01  1.15000000e+00 -3.11775108e-02 
 2.95000000e-09  2.95000000e-09  8.51811377e-01  1.15000000e+00 -3.22379488e-02 
 3.05000000e-09  3.05000000e-09  8.51869796e-01  1.15000000e+00 -3.32933412e-02 
 3.15000000e-09  3.15000000e-09  8.51927920e-01  1.15000000e+00 -3.43434018e-02 
 3.25000000e-09  3.25000000e-09  8.51985739e-01  1.15000000e+00 -3.53880592e-02 
 3.35000000e-09  3.35000000e-09  8.52043245e-01  1.15000000e+00 -3.64270728e-02 
 3.45000000e-09  3.45000000e-09  8.52100429e-01  1.15000000e+00 -3.74603379e-02 
 3.55000000e-09  3.55000000e-09  8.52157280e-01  1.15000000e+00 -3.84876440e-02 
 3.65000000e-09  3.65000000e-09  8.52213791e-01  1.15000000e+00 -3.95088656e-02 
 3.75000000e-09  3.75000000e-09  8.52269952e-01  1.15000000e+00 -4.05238124e-02 
 3.85000000e-09  3.85000000e-09  8.52325755e-01  1.15000000e+00 -4.15323464e-02 
 3.95000000e-09  3.95000000e-09  8.52381191e-01  1.15000000e+00 -4.25342907e-02 
 4.05000000e-09  4.05000000e-09  8.52436251e-01  1.15000000e+00 -4.35295006e-02 
 4.15000000e-09  4.15000000e-09  8.52490926e-01  1.15000000e+00 -4.45178083e-02 
 4.25000000e-09  4.25000000e-09  8.52545207e-01  1.15000000e+00 -4.54990659e-02 
 4.35000000e-09  4.35000000e-09  8.52599087e-01  1.15000000e+00 -4.64731121e-02 
 4.45000000e-09  4.45000000e-09  8.52652556e-01  1.15000000e+00 -4.74397981e-02 
 4.55000000e-09  4.55000000e-09  8.52705606e-01  1.15000000e+00 -4.83989674e-02 
 4.65000000e-09  4.65000000e-09  8.52758229e-01  1.15000000e+00 -4.93504717e-02 
 4.75000000e-09  4.75000000e-09  8.52810417e-01  1.15000000e+00 -5.02941585e-02 
 4.85000000e-09  4.85000000e-09  8.52862161e-01  1.15000000e+00 -5.12298807e-02 
 4.95000000e-09  4.95000000e-09  8.52913452e-01  1.15000000e+00 -5.21574895e-02 
 5.05000000e-09  5.05000000e-09  8.52964284e-01  1.15000000e+00 -5.30768396e-02 
 5.15000000e-09  5.15000000e-09  8.53014648e-01  1.15000000e+00 -5.39877853e-02 
 5.25000000e-09  5.25000000e-09  8.53064535e-01  1.15000000e+00 -5.48901837e-02 
 5.35000000e-09  5.35000000e-09  8.53113939e-01  1.15000000e+00 -5.57839003e-02 
 5.45000000e-09  5.45000000e-09  8.53162851e-01  1.15000000e+00 -5.66687852e-02 
 5.55000000e-09  5.55000000e-09  8.53211263e-01  1.15000000e+00 -5.75446915e-02 
 5.65000000e-09  5.65000000e-09  8.53259169e-01  1.15000000e+00 -5.84114921e-02 
 5.75000000e-09  5.75000000e-09  8.53306559e-01  1.15000000e+00 -5.92690483e-02 
 5.85000000e-09  5.85000000e-09  8.53353428e-01  1.15000000e+00 -6.01172251e-02 
 5.95000000e-09  5.95000000e-09  8.53399767e-01  1.15000000e+00 -6.09558896e-02 
 6.05000000e-09  6.05000000e-09  8.53445569e-01  1.15000000e+00 -6.17849095e-02 
 6.15000000e-09  6.15000000e-09  8.53490827e-01  1.15000000e+00 -6.26041547e-02 
 6.25000000e-09  6.25000000e-09  8.53535534e-01  1.15000000e+00 -6.34134962e-02 
 6.35000000e-09  6.35000000e-09  8.53579682e-01  1.15000000e+00 -6.42128069e-02 
 6.45000000e-09  6.45000000e-09  8.53623266e-01  1.15000000e+00 -6.50019613e-02 
