 v-sweep         v(out)          i(vout)         v(mid)         
 0.00000000e+00  0.00000000e+00 -1.23831793e-30 -3.82984926e-28 
 5.00000000e-03  5.00000000e-03 -1.11185307e-05  3.38961500e-03 
 1.00000000e-02  1.00000000e-02 -2.20847232e-05  6.76539222e-03 
 1.50000000e-02  1.50000000e-02 -3.28887767e-05  1.01489538e-02 
 2.00000000e-02  2.00000000e-02 -4.35408885e-05  1.35183742e-02 
 2.50000000e-02  2.50000000e-02 -5.40379362e-05  1.68807513e-02 
 3.00000000e-02  3.00000000e-02 -6.43801372e-05  2.02359200e-02 
 3.50000000e-02  3.50000000e-02 -7.45677173e-05  2.35837099e-02 
 4.00000000e-02  4.00000000e-02 -8.46780644e-05  2.69277520e-02 
 4.50000000e-02  4.50000000e-02 -9.45569425e-05  3.02603742e-02 
 5.00000000e-02  5.00000000e-02 -1.04281974e-04  3.35850401e-02 
 5.50000000e-02  5.50000000e-02 -1.13853374e-04  3.69015862e-02 
 6.00000000e-02  6.00000000e-02 -1.23271415e-04  4.02098102e-02 
 6.50000000e-02  6.50000000e-02 -1.32536383e-04  4.35095025e-02 
 7.00000000e-02  7.00000000e-02 -1.41648571e-04  4.68004458e-02 
 7.50000000e-02  7.50000000e-02 -1.50608288e-04  5.00824154e-02 
 8.00000000e-02  8.00000000e-02 -1.59415853e-04  5.33551784e-02 
 8.50000000e-02  8.50000000e-02 -1.68071599e-04  5.66184935e-02 
 9.00000000e-02  9.00000000e-02 -1.76575872e-04  5.98721108e-02 
 9.50000000e-02  9.50000000e-02 -1.84929030e-04  6.31157715e-02 
 1.00000000e-01  1.00000000e-01 -1.93131450e-04  6.63492072e-02 
 1.05000000e-01  1.05000000e-01 -2.01183522e-04  6.95721399e-02 
 1.10000000e-01  1.10000000e-01 -2.09085650e-04  7.27842814e-02 
 1.15000000e-01  1.15000000e-01 -2.16838257e-04  7.59853332e-02 
 1.20000000e-01  1.20000000e-01 -2.24441785e-04  7.91749855e-02 
 1.25000000e-01  1.25000000e-01 -2.31896690e-04  8.23529175e-02 
 1.30000000e-01  1.30000000e-01 -2.39203449e-04  8.55187965e-02 
 1.35000000e-01  1.35000000e-01 -2.46362561e-04  8.86722775e-02 
 1.40000000e-01  1.40000000e-01 -2.53374541e-04  9.18130028e-02 
 1.45000000e-01  1.45000000e-01 -2.60239928e-04  9.49406016e-02 
 1.50000000e-01  1.50000000e-01 -2.66959285e-04  9.80546892e-02 
 1.55000000e-01  1.55000000e-01 -2.73533195e-04  1.01154867e-01 
 1.60000000e-01  1.60000000e-01 -2.79962267e-04  1.04240721e-01 
 1.65000000e-01  1.65000000e-01 -2.86247136e-04  1.07311822e-01 
 1.70000000e-01  1.70000000e-01 -2.92388462e-04  1.10367727e-01 
 1.75000000e-01  1.75000000e-01 -2.98386932e-04  1.13407973e-01 
 1.80000000e-01  1.80000000e-01 -3.04243264e-04  1.16432082e-01 
 1.85000000e-01  1.85000000e-01 -3.09958204e-04  1.19439559e-01 
 1.90000000e-01  1.90000000e-01 -3.15532530e-04  1.22429888e-01 
 1.95000000e-01  1.95000000e-01 -3.20967050e-04  1.25402538e-01 
 2.00000000e-01  2.00000000e-01 -3.26262607e-04  1.28356956e-01 
 2.05000000e-01  2.05000000e-01 -3.31420080e-04  1.31292568e-01 
 2.10000000e-01  2.10000000e-01 -3.36440381e-04  1.34208781e-01 
 2.15000000e-01  2.15000000e-01 -3.41324462e-04  1.37104980e-01 
 2.20000000e-01  2.20000000e-01 -3.46073313e-04  1.39980527e-01 
 2.25000000e-01  2.25000000e-01 -3.50687963e-04  1.42834764e-01 
 2.30000000e-01  2.30000000e-01 -3.55169484e-04  1.45667006e-01 
 2.35000000e-01  2.35000000e-01 -3.59518990e-04  1.48476546e-01 
 2.40000000e-01  2.40000000e-01 -3.63737639e-04  1.51262652e-01 
 2.45000000e-01  2.45000000e-01 -3.67826637e-04  1.54024567e-01 
 2.50000000e-01  2.50000000e-01 -3.71787235e-04  1.56761508e-01 
 2.55000000e-01  2.55000000e-01 -3.75620733e-04  1.59472666e-01 
 2.60000000e-01  2.60000000e-01 -3.79328480e-04  1.62157204e-01 
 2.65000000e-01  2.65000000e-01 -3.82911879e-04  1.64814261e-01 
 2.70000000e-01  2.70000000e-01 -3.86372381e-04  1.67442945e-01 
 2.75000000e-01  2.75000000e-01 -3.89711496e-04  1.70042338e-01 
 2.80000000e-01  2.80000000e-01 -3.92930783e-04  1.72611494e-01 
 2.85000000e-01  2.85000000e-01 -3.96031861e-04  1.75149440e-01 
 2.90000000e-01  2.90000000e-01 -3.99016403e-04  1.77655172e-01 
 2.95000000e-01  2.95000000e-01 -4.01886140e-04  1.80127661e-01 
 3.00000000e-01  3.00000000e-01 -4.04642861e-04  1.82565850e-01 
 3.05000000e-01  3.05000000e-01 -4.07288412e-04  1.84968653e-01 
 3.10000000e-01  3.10000000e-01 -4.09824699e-04  1.87334959e-01 
 3.15000000e-01  3.15000000e-01 -4.12253684e-04  1.89663633e-01 
 3.20000000e-01  3.20000000e-01 -4.14577388e-04  1.91953511e-01 
 3.25000000e-01  3.25000000e-01 -4.16797888e-04  1.94203409e-01 
 3.30000000e-01  3.30000000e-01 -4.18917319e-04  1.96412119e-01 
 3.35000000e-01  3.35000000e-01 -4.20937869e-04  1.98578415e-01 
 3.40000000e-01  3.40000000e-01 -4.22861778e-04  2.00701050e-01 
 3.45000000e-01  3.45000000e-01 -4.24691339e-04  2.02778762e-01 
 3.50000000e-01  3.50000000e-01 -4.26428892e-04  2.04810276e-01 
 3.55000000e-01  3.55000000e-01 -4.28076820e-04  2.06794305e-01 
 3.60000000e-01  3.60000000e-01 -4.29637551e-04  2.08729555e-01 
 3.65000000e-01  3.65000000e-01 -4.31113548e-04  2.10614729e-01 
 3.70000000e-01  3.70000000e-01 -4.32507307e-04  2.12448529e-01 
 3.75000000e-01  3.75000000e-01 -4.33821351e-04  2.14229660e-01 
 3.80000000e-01  3.80000000e-01 -4.35058226e-04  2.15956837e-01 
 3.85000000e-01  3.85000000e-01 -4.36220492e-04  2.17628786e-01 
 3.90000000e-01  3.90000000e-01 -4.37310720e-04  2.19244253e-01 
 3.95000000e-01  3.95000000e-01 -4.38331480e-04  2.20802006e-01 
 4.00000000e-01  4.00000000e-01 -4.39285338e-04  2.22300842e-01 
 4.05000000e-01  4.05000000e-01 -4.40174843e-04  2.23739593e-01 
 4.10000000e-01  4.10000000e-01 -4.41002525e-04  2.25117130e-01 
 4.15000000e-01  4.15000000e-01 -4.41770878e-04  2.26432370e-01 
 4.20000000e-01  4.20000000e-01 -4.42482359e-04  2.27684283e-01 
 4.25000000e-01  4.25000000e-01 -4.43139373e-04  2.28871896e-01 
 4.30000000e-01  4.30000000e-01 -4.43744264e-04  2.29994299e-01 
 4.35000000e-01  4.35000000e-01 -4.44299313e-04  2.31050651e-01 
 4.40000000e-01  4.40000000e-01 -4.44806717e-04  2.32040185e-01 
 4.45000000e-01  4.45000000e-01 -4.45268590e-04  2.32962214e-01 
 4.50000000e-01  4.50000000e-01 -4.45686950e-04  2.33816133e-01 
 4.55000000e-01  4.55000000e-01 -4.46063712e-04  2.34601426e-01 
 4.60000000e-01  4.60000000e-01 -4.46400681e-04  2.35317669e-01 
 4.65000000e-01  4.65000000e-01 -4.46699542e-04  2.35964532e-01 
 4.70000000e-01  4.70000000e-01 -4.46961858e-04  2.36541779e-01 
 4.75000000e-01  4.75000000e-01 -4.47189065e-04  2.37049278e-01 
 4.80000000e-01  4.80000000e-01 -4.47382461e-04  2.37486991e-01 
 4.85000000e-01  4.85000000e-01 -4.47543211e-04  2.37854984e-01 
 4.90000000e-01  4.90000000e-01 -4.47672340e-04  2.38153421e-01 
