 v-sweep         v(in)           v(out)         
 5.00000000e-01  5.00000000e-01  7.60903394e-03 
 5.05000000e-01  5.05000000e-01  8.94747397e-03 
 5.10000000e-01  5.10000000e-01  1.03621999e-02 
 5.15000000e-01  5.15000000e-01  1.18491935e-02 
 5.20000000e-01  5.20000000e-01  1.34049641e-02 
 5.25000000e-01  5.25000000e-01  1.50264553e-02 
 5.30000000e-01  5.30000000e-01  1.67109827e-02 
 5.35000000e-01  5.35000000e-01  1.84561825e-02 
 5.40000000e-01  5.40000000e-01  2.02599698e-02 
 5.45000000e-01  5.45000000e-01  2.21205048e-02 
 5.50000000e-01  5.50000000e-01  2.40361642e-02 
 5.55000000e-01  5.55000000e-01  2.59788989e-02 
 5.60000000e-01  5.60000000e-01  2.80014893e-02 
 5.65000000e-01  5.65000000e-01  3.00751159e-02 
 5.70000000e-01  5.70000000e-01  3.21990576e-02 
 5.75000000e-01  5.75000000e-01  3.43724932e-02 
 5.80000000e-01  5.80000000e-01  3.65947244e-02 
 5.85000000e-01  5.85000000e-01  3.88651663e-02 
 5.90000000e-01  5.90000000e-01  4.11833415e-02 
 5.95000000e-01  5.95000000e-01  4.35488743e-02 
 6.00000000e-01  6.00000000e-01  4.59614874e-02 
 6.05000000e-01  6.05000000e-01  4.84209982e-02 
 6.10000000e-01  6.10000000e-01  5.09273173e-02 
 6.15000000e-01  6.15000000e-01  5.34804473e-02 
 6.20000000e-01  6.20000000e-01  5.60804823e-02 
 6.25000000e-01  6.25000000e-01  5.87276090e-02 
 6.30000000e-01  6.30000000e-01  6.14221079e-02 
 6.35000000e-01  6.35000000e-01  6.41643560e-02 
 6.40000000e-01  6.40000000e-01  6.69548301e-02 
 6.45000000e-01  6.45000000e-01  6.97941118e-02 
 6.50000000e-01  6.50000000e-01  7.26828926e-02 
 6.55000000e-01  6.55000000e-01  7.56219813e-02 
 6.60000000e-01  6.60000000e-01  7.86123126e-02 
 6.65000000e-01  6.65000000e-01  8.16549571e-02 
 6.70000000e-01  6.70000000e-01  8.47511339e-02 
 6.75000000e-01  6.75000000e-01  8.79022248e-02 
 6.80000000e-01  6.80000000e-01  9.11097923e-02 
 6.85000000e-01  6.85000000e-01  9.43755998e-02 
 6.90000000e-01  6.90000000e-01  9.77016369e-02 
 6.95000000e-01  6.95000000e-01  1.01090150e-01 
 7.00000000e-01  7.00000000e-01  1.04543676e-01 
 7.05000000e-01  7.05000000e-01  1.08065090e-01 
 7.10000000e-01  7.10000000e-01  1.11657656e-01 
 7.15000000e-01  7.15000000e-01  1.15325097e-01 
